Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Bifidobacterium swidsinskii GCA_002884855.1	2702	GCA_002884855.1	68.76	0.837631	0.510534	568901	655560
s__Lactobacillus gasseri GCA_002940965.1	1596	GCA_002940965.1	4.19	0.957549	0.898964	41033	39948
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	2.73	0.577553	0.201173	26386	26028
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	2.3	0.573471	0.571463	31551	21928
s__Fannyhessea vaginae GCA_000159235.2	525256	GCA_000159235.2	2.27	0.398747	0.398005	17801	21642
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	2.21	0.861424	0.861424	37335	21070
s__Prevotella bivia GCA_000262545.1	868129	GCA_000262545.1	1.9900000000000002	0.59865	0.602348	27061	18973
s__Winkia sp002849225 GCA_000296485.1	888439	GCA_000296485.1	1.68	0.566045	0.315136	19636	16017
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	1.33	0.426581	0.223042	13089	12680
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	1.09	0.371834	0.25214	15070	10392
s__Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	GCA_000175635.1	1.02	0.369738	0.241885	13137	9725
s__Anaerococcus hydrogenalis GCA_000191745.2	879306	GCA_000191745.2	0.96	0.519019	0.386778	9843	9153
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	0.8500000000000001	0.442198	0.400044	8325	8104
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	0.7	0.306021	0.166844	7154	6674
s__Escherichia coli GCA_016944675.1	562	GCA_016944675.1	0.66	0.169873	0.133408	17981	6292
s__Staphylococcus epidermidis	1282		0.54	0.352682	0.068493	7074	5148
s__Peptoniphilus_A harei GCA_001815405.1	1739525	GCA_001815405.1	0.48	0.272719	0.25127	4833	4576
s__Negativicoccus succinicivorans GCA_000508525.1	1403945	GCA_000508525.1	0.37	0.163195	0.163195	2596	3528
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	0.36	0.185594	0.185575	3928	3432
s__Staphylococcus hominis GCA_001809865.1	1715156	GCA_001809865.1	0.32	0.213975	0.044655	3579	3051
s__Bradyrhizobium sp003020075 GCA_000465325.1	1230476	GCA_000465325.1	0.31	0.0865	0.110037	12536	2956
s__Pauljensenia turicensis GCA_000296505.1	883077	GCA_000296505.1	0.25	0.106658	0.106683	2643	2384
s__Anaerococcus senegalensis GCA_000321005.2	1033733	GCA_000321005.2	0.25	0.24234	0.209203	2397	2384
s__Anaerococcus vaginimassiliensis GCA_000191725.2	879305	GCA_000191725.2	0.25	0.196122	0.132487	2251	2384
s__Enterococcus faecalis	1351		0.24	0.146164	0.235294	3393	2288
s__Staphylococcus haemolyticus GCA_000261465.1	1134914	GCA_000261465.1	0.22999999999999998	0.163361	0.084112	2828	2193
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	0.19	0.078	0.077875	2810	1811
s__Streptococcus sp019448285 GCA_000506725.1	1415765	GCA_000506725.1	0.19	0.04062	0.026193	1987	1811
s__Veillonella atypica	39777		0.19	0.129412	0.033149	2240	1811
s__Limosilactobacillus coleohominis_A GCA_000161935.1	575594	GCA_000161935.1	0.18	0.100273	0.097022	1669	1716
s__Streptococcus mitis_AV GCA_000722775.1	28037	GCA_000722775.1	0.18	0.03632	0.025311	2089	1716
s__Streptococcus mitis_H GCA_000148525.2	585203	GCA_000148525.2	0.18	0.026149	0.01907	1918	1716
s__Streptococcus mitis_I GCA_000257865.1	1095736	GCA_000257865.1	0.17	0.044417	0.032359	1768	1621
s__Peptoniphilus_A vaginalis GCA_900176605.1	1756987	GCA_900176605.1	0.17	0.102102	0.025793	1745	1621
s__Varibaculum cambriense_A GCA_000508625.1	1403948	GCA_000508625.1	0.13	0.067924	0.066209	1656	1239
s__Bradyrhizobium viridifuturi GCA_002289535.1	418599	GCA_002289535.1	0.13	0.028821	0.009249	6331	1239
s__Veillonella nakazawae GCA_009710825.1	39778	GCA_009710825.1	0.13	0.059714	0.050248	1478	1239
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	0.12	0.042825	0.035822	1317	1144
