Enzyme ID	Name	Copies per Million (CPM)	Relative Abundance
3.6.4.12	DNA helicase	20529.1	2.0529099133672024
2.7.13.3	Histidine kinase	16039.1	1.6039099323150015
2.7.7.7	DNA-directed DNA polymerase	14427.7	1.4427699391151092
2.7.7.6	DNA-directed RNA polymerase	13406.2	1.340619943425839
5.2.1.8	Peptidylprolyl isomerase	13122.3	1.3122299446238967
5.99.1.3	Transferred entry 5.6.2.2	10873.8	1.0873799541125664
2.7.1.69	2.7.1.208	8594.64	0.8594639637306211
1.17.4.1	Ribonucleoside-diphosphate reductase	7715.43	0.7715429674408871
6.1.1.20	Phenylalanine--tRNA ligase	6251.82	0.625181973617321
3.1.11.6	Exodeoxyribonuclease VII	5298.58	0.5298579776399936
5.99.1.2	Transferred entry 5.6.2.1	5001.04	0.5001039788956123
2.4.2.9	Uracil phosphoribosyltransferase	4993.76	0.4993759789263339
3.4.21.92	Endopeptidase Clp	4645.71	0.46457098039510486
2.4.2.8	Hypoxanthine phosphoribosyltransferase	4514.74	0.4514739809477981
4.1.2.4	Deoxyribose-phosphate aldolase	4357.21	0.4357209816125748
7.1.2.2	H(+)-transporting two-sector ATPase	4339.38	0.4339379816878174
1.11.1.15	Peroxiredoxin	4281.01	0.42810098193413876
1.6.5.11	NADH dehydrogenase (quinone)	4278.85	0.427884981943254
4.2.1.11	Phosphopyruvate hydratase	4271.19	0.42711898197557907
3.1.26.4	Ribonuclease H	4094.44	0.40944398272146415
6.1.1.14	Glycine--tRNA ligase	4033.85	0.40338498297715386
3.1.1.29	Aminoacyl-tRNA hydrolase	4021.43	0.4021429830295663
2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	4000.36	0.40003598311848176
2.7.6.1	Ribose-phosphate diphosphokinase	3850.02	0.38500198375291644
4.2.1.20	Tryptophan synthase	3731.91	0.3731909842513406
2.4.2.29	tRNA-guanine(34) transglycosylase	3722.44	0.372243984291304
1.8.1.9	Thioredoxin-disulfide reductase	3717.84	0.3717839843107161
3.5.1.88	Peptide deformylase	3698.97	0.3698969843903474
6.1.1.1	Tyrosine--tRNA ligase	3693.39	0.369338984413895
3.1.26.5	Ribonuclease P	3634.57	0.3634569846621154
2.5.1.6	Methionine adenosyltransferase	3619.17	0.3619169847271034
3.4.11.18	Methionyl aminopeptidase	3617.68	0.36176798473339117
6.1.1.17	Glutamate--tRNA ligase	3563.07	0.3563069849638454
6.1.1.19	Arginine--tRNA ligase	3551.35	0.35513498501330376
3.6.3.14	Transferred entry 7.1.2.2	3546.4	0.3546399850341928
2.7.1.11	6-phosphofructokinase	3537.61	0.3537609850712866
4.2.99.18	DNA-(apurinic or apyrimidinic site) lyase	3510.9	0.3510899851840028
6.1.1.11	Serine--tRNA ligase	3499.67	0.34996698523139336
2.7.4.22	UMP kinase	3371.85	0.33718498577079375
6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	3352.65	0.33526498585181774
6.1.1.9	Valine--tRNA ligase	3344.52	0.33445198588612635
6.1.1.3	Threonine--tRNA ligase	3317.5	0.3317499860001507
6.1.1.10	Methionine--tRNA ligase	3312.09	0.33120898602298093
2.4.1.1	Glycogen phosphorylase	3295	0.3294999860951007
2.7.2.3	Phosphoglycerate kinase	3291.56	0.3291559861096175
6.3.5.2	GMP synthase (glutamine-hydrolyzing)	3282.59	0.32825898614747095
5.3.1.1	Triose-phosphate isomerase	3270.98	0.32709798619646513
1.1.1.205	IMP dehydrogenase	3266.28	0.3266279862162992
4.3.3.7	4-hydroxy-tetrahydrodipicolinate synthase	3213.77	0.3213769864378913
2.7.2.1	Acetate kinase	3203.01	0.3203009864832985
6.1.1.6	Lysine--tRNA ligase	3194.84	0.31948398651777593
2.3.1.234	N(6)-L-threonylcarbamoyladenine synthase	3170.57	0.3170569866201953
2.7.4.3	Adenylate kinase	3156.83	0.31568298667817807
2.7.4.8	Guanylate kinase	3150.51	0.31505098670484855
2.7.4.9	dTMP kinase	3120.4	0.3120399868319127
2.7.7.8	Polyribonucleotide nucleotidyltransferase	3115.17	0.3115169868539833
6.3.4.4	Adenylosuccinate synthase	3108.06	0.3108059868839875
6.1.1.15	Proline--tRNA ligase	3104.16	0.3104159869004455
3.4.21.89	Signal peptidase I	3094.79	0.3094789869399869
2.7.7.3	Pantetheine-phosphate adenylyltransferase	3075.12	0.30751198702299426
1.8.1.4	Dihydrolipoyl dehydrogenase	3073.16	0.30731598703126545
2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase	3057.62	0.30576198709684427
5.3.1.9	Glucose-6-phosphate isomerase	3054.53	0.3054529871098841
2.7.1.40	Pyruvate kinase	3049.76	0.3049759871300135
2.4.2.1	Purine-nucleoside phosphorylase	3043.7	0.30436998715558666
2.4.2.10	Orotate phosphoribosyltransferase	3030.03	0.3030029872132741
6.3.2.9	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	3026.75	0.30267498722711567
5.1.1.3	Glutamate racemase	3014.83	0.30148298727741807
2.7.1.23	NAD(+) kinase	3014.3	0.3014299872796547
6.3.1.2	Glutamine synthetase	3002.6	0.3002599873290287
2.1.1.33	tRNA (guanine(46)-N(7))-methyltransferase	2996.99	0.29969898735270284
3.6.1.27	Undecaprenyl-diphosphate phosphatase	2966.79	0.29667898748014687
6.1.1.7	Alanine--tRNA ligase	2954.34	0.29543398753268585
2.1.1.228	tRNA (guanine(37)-N(1))-methyltransferase	2944.3	0.2944299875750547
6.3.2.6	Phosphoribosylaminoimidazolesuccinocarboxamide synthase	2936.34	0.29363398760864584
6.1.1.2	Tryptophan--tRNA ligase	2918.23	0.29182298768507003
6.1.1.16	Cysteine--tRNA ligase	2900.07	0.29000698776170525
3.5.4.16	GTP cyclohydrolase I	2872.87	0.2872869878764892
6.3.2.4	D-alanine--D-alanine ligase	2862.83	0.28628298791885803
6.1.1.4	Leucine--tRNA ligase	2856.34	0.28563398794624584
3.1.22.4	Crossover junction endodeoxyribonuclease	2843.78	0.28437798799924907
6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase	2827.03	0.28270298806993405
7.3.2.1	ABC-type phosphate transporter	2821.23	0.28212298809441005
4.4.1.21	S-ribosylhomocysteine lyase	2819.84	0.28198398810027586
1.8.4.11	Peptide-methionine (S)-S-oxide reductase	2767.62	0.27676198832064425
6.1.1.5	Isoleucine--tRNA ligase	2767.44	0.27674398832140384
2.1.2.3	Phosphoribosylaminoimidazolecarboxamide formyltransferase	2709.79	0.27097898856468683
3.5.99.6	Glucosamine-6-phosphate deaminase	2706.99	0.27069898857650276
5.4.99.18	5-(carboxyamino)imidazole ribonucleotide mutase	2702.37	0.2702369885959992
2.7.2.4	Aspartate kinase	2694.64	0.2694639886286198
5.4.2.11	Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	2671.93	0.267192988724456
6.3.4.21	Nicotinate phosphoribosyltransferase	2661.15	0.2661149887699476
3.1.26.3	Ribonuclease III	2653.09	0.2653089888039608
2.7.1.15	Ribokinase	2650.93	0.26509298881307597
2.6.1.16	Glutamine--fructose-6-phosphate transaminase (isomerizing)	2644.08	0.26440798884198297
4.2.1.10	3-dehydroquinate dehydratase	2642.36	0.26423598884924143
2.2.1.2	Transaldolase	2639.02	0.2639019888633362
2.7.4.1	Polyphosphate kinase	2635.51	0.26355098887814843
2.7.4.25	(d)CMP kinase	2632.89	0.26328898888920477
3.6.1.1	Inorganic diphosphatase	2630.22	0.2630219889004721
6.1.1.21	Histidine--tRNA ligase	2630.21	0.2630209889005144
3.6.1.23	dUTP diphosphatase	2622.52	0.2622519889329662
5.4.99.12	tRNA pseudouridine(38-40) synthase	2583.51	0.2583509890975884
2.1.3.3	Ornithine carbamoyltransferase	2570.37	0.25703698915303913
6.3.5.3	Phosphoribosylformylglycinamidine synthase	2570.24	0.25702398915358776
2.4.2.7	Adenine phosphoribosyltransferase	2551.91	0.25519098923094036
1.15.1.1	Superoxide dismutase	2537.17	0.2537169892931432
2.7.1.33	Pantothenate kinase	2523.91	0.2523909893491003
1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(P)(+))	2509.89	0.25098898940826475
4.2.1.33	3-isopropylmalate dehydratase	2506.79	0.25067898942134675
3.5.4.10	IMP cyclohydrolase	2506.65	0.2506649894219376
2.7.7.18	Nicotinate-nucleotide adenylyltransferase	2504.44	0.2504439894312638
5.4.2.10	Phosphoglucosamine mutase	2495.47	0.2495469894691171
3.5.1.2	Glutaminase	2482.4	0.24823998952427256
2.1.1.199	16S rRNA (cytosine(1402)-N(4))-methyltransferase	2480.13	0.24801298953385198
2.1.2.1	Glycine hydroxymethyltransferase	2478.59	0.24785898954035077
6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	2474.2	0.24741998955887654
3.1.1.96	D-aminoacyl-tRNA deacylase	2452.72	0.24527198964952213
5.3.1.6	Ribose-5-phosphate isomerase	2450.85	0.24508498965741354
2.1.1.198	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	2447.55	0.24475498967133957
3.5.4.9	Methenyltetrahydrofolate cyclohydrolase	2445.52	0.24455198967990613
2.4.1.227	acetylglucosaminyltransferase	2424.16	0.24241598977004533
2.4.2.14	Amidophosphoribosyltransferase	2422.64	0.24226398977645974
2.1.2.2	Phosphoribosylglycinamide formyltransferase	2409.72	0.24097198983098214
2.1.3.2	Aspartate carbamoyltransferase	2394.77	0.23947698989407115
2.7.7.27	Glucose-1-phosphate adenylyltransferase	2386.55	0.23865498992875953
4.1.2.25	Dihydroneopterin aldolase	2376.05	0.23760498997306956
2.1.1.163	Demethylmenaquinone methyltransferase	2347.86	0.23478599009203135
