Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Lactobacillus crispatus	47770		88.91	0.939834	0.594406	7508640	7658784
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	3.64	0.999761	0.999761	397431	313553
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	3.2	0.661134	0.65933	283908	275651
s__Bifidobacterium breve GCA_002838565.1	1685	GCA_002838565.1	1.15	0.947064	0.656593	97411	99062
s__Limosilactobacillus vaginalis GCA_000159435.1	1423814	GCA_000159435.1	0.77	0.780952	0.145845	49586	66328
s__Ralstonia pickettii_B GCA_000372665.1	1264675	GCA_000372665.1	0.17	0.479078	0.466318	28696	14644
s__Comamonas tsuruhatensis GCA_001017795.1	558537	GCA_001017795.1	0.16	0.323664	0.034988	37477	13783
s__Bradyrhizobium sp003020075 GCA_003020075.1	2133945	GCA_003020075.1	0.15	0.371707	0.342063	38834	12921
s__Lawsonella clevelandensis GCA_001281505.1	1528099	GCA_001281505.1	0.12	0.345057	0.17444	8422	10337
s__Winkia neuii GCA_001812065.1	1739339	GCA_001812065.1	0.11	0.402308	0.086242	9027	9475
s__Bifidobacterium dentium GCA_015704005.1	1689	GCA_015704005.1	0.09	0.261525	0.012078	7922	7753
s__Parvimonas micra GCA_000800295.1	33033	GCA_000800295.1	0.09	0.418684	0.12767	5264	7753
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	0.08	0.05207	0.014745	7521	6891
s__Cutibacterium acnes GCA_000145355.1	765084	GCA_000145355.1	0.08	0.237065	0.062208	7257	6891
s__Olegusella massiliensis GCA_900078545.1	1776381	GCA_900078545.1	0.07	0.210403	0.210136	4377	6030
s__Pseudomonas_E antarctica_A GCA_001647715.1	219572	GCA_001647715.1	0.07	0.062487	0.057861	15527	6030
g__Cystobacter	42		0.07	0.036303	0.03061	1994	6030
g__Lactobacillus	1578		0.06	0.321957	0.315175	4100	5168
s__Enterococcus faecalis GCA_014243495.1	1351	GCA_014243495.1	0.05	0.156601	0.097087	4266	4307
s__Winkia sp002849225 GCA_001807435.1	1581131	GCA_001807435.1	0.05	0.191336	0.071702	4082	4307
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	0.05	0.162001	0.152527	3513	4307
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	0.05	0.148224	0.147396	4939	4307
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	0.05	0.182019	0.181911	3046	4307
s__Comamonas acidovorans GCA_002193035.1	1472718	GCA_002193035.1	0.04	0.12848	0.015944	8485	3446
s__Stenotrophomonas maltophilia_A GCA_000758465.1	40324	GCA_000758465.1	0.04	0.033378	0.017282	6814	3446
s__Agrobacterium oryzihabitans GCA_000219665.2	1050720	GCA_000219665.2	0.04	0.093316	0.092801	6428	3446
s__Methylobacterium thiocyanatum GCA_000019945.1	441620	GCA_000019945.1	0.04	0.104396	0.1005	8485	3446
s__Limosilactobacillus portuensis GCA_019042695.1	2742601	GCA_019042695.1	0.03	0.092672	0.037637	1939	2584
s__Facklamia hominis GCA_000301035.1	883111	GCA_000301035.1	0.03	0.142814	0.069706	1888	2584
s__Pauljensenia radingae_A GCA_001457875.1	1673722	GCA_001457875.1	0.03	0.098333	0.04707	2381	2584
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	0.03	0.109559	0.109672	2050	2584
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	0.03	0.260236	0.138702	1607	2584
s__Meiothermus_B silvanus GCA_000092125.1	526227	GCA_000092125.1	0.03	0.058334	0.058344	3288	2584
s__Staphylococcus haemolyticus GCA_000764065.1	1283	GCA_000764065.1	0.02	0.113546	0.020607	1717	1723
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	0.02	0.077057	0.055864	2462	1723
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	0.02	0.052891	0.028978	2306	1723
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	0.02	0.068181	0.057441	1459	1723
s__Kytococcus sedentarius GCA_000023925.1	478801	GCA_000023925.1	0.02	0.034697	0.034967	1884	1723
s__Kocuria rosea	1275		0.02	0.058536	0.018657	2271	1723
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	0.02	0.076113	0.045782	1929	1723
s__Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	GCA_000175635.1	0.02	0.076707	0.044806	1457	1723
s__Lancefieldella rimae GCA_000174015.1	553184	GCA_000174015.1	0.02	0.041786	0.025497	942	1723
s__Bilophila wadsworthia GCA_000185705.2	563192	GCA_000185705.2	0.02	0.069695	0.021751	3383	1723
s__Streptococcus oralis_G GCA_006228325.1	2576376	GCA_006228325.1	0.01	0.038878	0.038193	499	861
s__Aerococcus urinae_D GCA_001809895.1	1715159	GCA_001809895.1	0.01	0.031101	0.024041	443	861
s__Staphylococcus epidermidis	1282		0.01	0.102999	0.07732	1053	861
s__Varibaculum cambriense_A GCA_000508625.1	1403948	GCA_000508625.1	0.01	0.035795	0.02387	698	861
s__Actinotignum schaalii_A GCA_000411135.1	883067	GCA_000411135.1	0.01	0.02782	0.012055	456	861
s__Gleimia urinae GCA_900119695.1	1689268	GCA_900119695.1	0.01	0.028604	0.024822	548	861
s__Micrococcus luteus	1270		0.01	0.037255	0.032427	454	861
s__Micrococcus endophyticus GCA_000309825.2	1232675	GCA_000309825.2	0.01	0.022853	0.020132	792	861
s__Citricoccus terreus GCA_900116905.1	574650	GCA_900116905.1	0.01	0.011323	0.011332	609	861
s__Lancefieldella parvula GCA_000024225.1	521095	GCA_000024225.1	0.01	0.013518	0.012882	277	861
s__Paraburkholderia fungorum GCA_000685055.1	1218077	GCA_000685055.1	0.01	0.026553	0.015145	2825	861
s__Pararheinheimera mesophila GCA_000986865.1	1547515	GCA_000986865.1	0.01	0.023333	0.022091	797	861
s__Phyllobacterium myrsinacearum GCA_002980555.1	28101	GCA_002980555.1	0.01	0.026031	0.024601	2825	861
s__Campylobacter_B gracilis GCA_000175875.1	553220	GCA_000175875.1	0.01	0.016519	0.016422	499	861
s__Parvimonas sp000214475 GCA_000214475.2	767100	GCA_000214475.2	0.01	0.086373	0.015476	388	861
s__Parvimonas sp000223315 GCA_000223315.2	944565	GCA_000223315.2	0.01	0.069779	0.016984	448	861
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	0.01	0.044181	0.040671	499	861
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	0.01	0.029249	0.013461	463	861
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	0.01	0.033131	0.033213	942	861
s__Meiothermus_B sp003226535 GCA_003226535.1	873128	GCA_003226535.1	0.01	0.02055	0.018613	1048	861
s__Allisonella pneumosinta GCA_001717505.1	39950	GCA_001717505.1	0.01	0.034545	0.034622	443	861
s__Anaeroglobus micronuciformis GCA_000165735.1	706434	GCA_000165735.1	0.01	0.049419	0.049428	665	861
