Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Lactobacillus crispatus GCA_016767795.1	47770	GCA_016767795.1	89.62	0.946417	0.2	6538672	6533313
s__Lactobacillus jensenii GCA_008726555.1	109790	GCA_008726555.1	3.5000000000000004	0.976753	0.117949	199106	255151
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	2.2	0.999761	0.999761	229289	160380
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	2.02	0.660991	0.659114	171225	147258
s__Bifidobacterium leopoldii GCA_013315195.1	2702	GCA_013315195.1	1.41	0.88757	0.138801	70977	102789
s__Limosilactobacillus portuensis GCA_902362445.1	2702	GCA_902362445.1	0.79	0.563338	0.147696	50613	57591
s__Bifidobacterium swidsinskii GCA_013315145.1	2702	GCA_013315145.1	0.22999999999999998	0.371952	0.010329	12401	16767
s__Limosilactobacillus vaginalis GCA_002553995.1	2042042	GCA_002553995.1	0.08	0.106064	0.012095	4682	5832
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	0.07	0.051768	0.014362	5972	5103
s__Bifidobacterium adolescentis	1680		0.02	0.077509	0.077509	1380	1458
s__Collinsella aerofaciens_I GCA_005845035.1	74426	GCA_005845035.1	0.02	0.014289	0.0123	1860	1458
s__Holdemanella porci_A GCA_019052655.1	2652276	GCA_019052655.1	0.01	0.037092	0.014302	540	729
s__Ralstonia pickettii_B GCA_000372665.1	1264675	GCA_000372665.1	0.01	0.03691	0.03167	1320	729
s__Bradyrhizobium sp003020075 GCA_003020075.1	2133945	GCA_003020075.1	0.01	0.023247	0.01746	1980	729
