CAZy ID	Copies per Million (CPM)	Relative Abundance
GT51	292469	29.246913131863987
GH88	122985	12.298505522028977
GT28	111910	11.191005024761253
GT2	88878.6	8.887863990650931
GT32	82242.8	8.224283692703377
GH13	76361.3	7.636133428623908
GT5	75070.8	7.507083370680433
CBM48	55280.6	5.5280624821000535
CBM70	23319.3	2.3319310470370396
PL8	23319.3	2.3319310470370396
GT1	13104.2	1.310420588378844
GH23	11381.8	1.1381805110430492
GH42	9773.08	0.9773084388114889
GH43	7690.64	0.769064345309891
GH32	2703.21	0.27032112137418346
GH38	1188.09	0.11880905334526491
GT35	981.941	0.09819414408917068
CBM50	669.945	0.066994530080544
GH73	669.945	0.066994530080544
