Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	30.92	0.999761	0.999761	393165	330156
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	27.889999999999997	0.661256	0.659416	288480	297802
s__Streptococcus agalactiae GCA_000311525.1	1105255	GCA_000311525.1	13.79	0.890399	0.151079	120701	147246
s__Corynebacterium striatum GCA_000159135.1	525268	GCA_000159135.1	12.19	0.603412	0.599625	133966	130162
s__Streptococcus anginosus GCA_000508545.1	1403946	GCA_000508545.1	2.9	0.711536	0.128755	23638	30965
s__Staphylococcus haemolyticus GCA_000261465.1	1134914	GCA_000261465.1	1.6399999999999997	0.577305	0.334112	15182	17511
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	0.8500000000000001	0.051909	0.014533	8871	9076
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	0.72	0.302157	0.099439	5237	7688
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	0.68	0.176759	0.109903	7031	7261
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	0.65	0.196327	0.196663	5354	6941
s__Corynebacterium simulans GCA_001586215.1	146827	GCA_001586215.1	0.65	0.069775	0.020674	7172	6941
s__Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	GCA_000175635.1	0.63	0.180049	0.111629	6145	6727
s__Lactobacillus iners GCA_002871595.1	147802	GCA_002871595.1	0.53	0.352892	0.045307	2786	5659
s__Atopobium deltae GCA_001552785.1	1393034	GCA_001552785.1	0.5	0.16074	0.160717	2938	5339
s__Veillonella montpellierensis GCA_000759285.1	1401067	GCA_000759285.1	0.49	0.179654	0.106075	3914	5232
s__Staphylococcus epidermidis	1282		0.48	0.274761	0.033708	4643	5125
s__Staphylococcus aureus	1280		0.4	0.134328	0.134328	3747	4271
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	0.33	0.14231	0.141755	2743	3524
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	0.31	0.215613	0.198244	2292	3310
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	0.26	0.107467	0.044001	1928	2776
s__Bifidobacterium piotii GCA_002884815.1	33031	GCA_002884815.1	0.26	0.069129	0.017789	1736	2776
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	0.24	0.073536	0.031291	2013	2563
s__Ureaplasma urealyticum GCA_000255415.2	1161916	GCA_000255415.2	0.22	0.150025	0.031579	781	2349
g__Corynebacterium	1716		0.22	0.100122	0.034115	2143	2349
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	0.2	0.088566	0.037589	1562	2136
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	0.19	0.064438	0.064522	1383	2029
s__Winkia sp002849225 GCA_002872055.1	2069311	GCA_002872055.1	0.18	0.064895	0.028594	1592	1922
s__Aerococcus christensenii GCA_001543105.1	87541	GCA_001543105.1	0.17	0.073601	0.073601	1122	1815
s__Corynebacterium aurimucosum_F GCA_000022905.1	548476	GCA_000022905.1	0.17	0.029875	0.025893	1893	1815
s__Dermabacter hominis	36740		0.13	0.058573	0.017595	1279	1388
s__Cutibacterium avidum	33010		0.11	0.038652	0.026327	1140	1175
s__Staphylococcus borealis GCA_001921685.1	1280	GCA_001921685.1	0.1	0.023891	0.013432	1110	1068
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	0.1	0.037677	0.026831	1265	1068
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	0.09	0.033416	0.033443	681	961
s__Cutibacterium acnes GCA_000709495.1	1276648	GCA_000709495.1	0.09	0.028097	0.015823	904	961
s__Prevotella bivia GCA_000262545.1	868129	GCA_000262545.1	0.08	0.028546	0.0284	777	854
s__Akkermansia sp004167605	818		0.08	0.112994	0.085366	1120	854
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	0.07	0.029448	0.017478	888	747
s__Anaerococcus jeddahensis GCA_001182725.1	1673719	GCA_001182725.1	0.06	0.047279	0.04234	477	641
s__Pauljensenia turicensis GCA_000296505.1	883077	GCA_000296505.1	0.06	0.018753	0.018781	493	641
g__Peptoniphilus_A	162289		0.05	0.255	0.136364	428	534
g__Anaerococcus	165779		0.04	0.040234	0.039216	278	427
s__Parvimonas parva GCA_001553085.1	1588755	GCA_001553085.1	0.03	0.0319	0.032167	191	320
s__Prevotella disiens GCA_000613345.1	1235811	GCA_000613345.1	0.03	0.013328	0.013085	337	320
s__Actinotignum timonense GCA_002860685.1	1870995	GCA_002860685.1	0.03	0.011846	0.010893	308	320
s__Gemella asaccharolytica GCA_001553005.1	502393	GCA_001553005.1	0.02	0.040021	0.040021	103	214
g__Anaerostipes	207244		0.02	0.019826	0.019563	185	214
s__Blautia_A wexlerae	40520		0.02	0.027972	0.027972	370	214
s__Anaerococcus hydrogenalis GCA_000191745.2	879306	GCA_000191745.2	0.02	0.045612	0.029672	179	214
s__Pauljensenia radingae_A	1673722		0.02	0.007797	0.007797	238	214
s__Ralstonia pickettii_B	329		0.02	0.007987	0.007454	452	214
s__Dialister micraerophilus GCA_000194985.1	888062	GCA_000194985.1	0.02	0.014559	0.016127	103	214
s__Actinomyces urogenitalis	103621		0.01	0.007553	0.007553	135	107
s__Methanobrevibacter_A smithii_A	2173		0.01	0.035123	0.025554	103	107
s__Methanosphaera stadtmanae GCA_000012545.1	339860	GCA_000012545.1	0.01	0.018519	0.018519	72	107
