Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Bifidobacterium breve GCA_001263915.1	1365965	GCA_001263915.1	46.26	0.778679	0.227804	23479731	30911790
s__Escherichia coli GCA_904831825.1	562	GCA_904831825.1	34.58	0.363245	0.402883	34388322	23106997
s__Bifidobacterium dentium	1689		7.08	0.476471	0.490798	3664197	4730987
s__Lactobacillus jensenii	109790		4.06	0.994287	0.942094	1410822	2712967
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	1.24	0.999761	0.999761	786680	828591
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	1.13	0.662215	0.660432	583379	755087
s__Facklamia hominis GCA_000301035.1	883111	GCA_000301035.1	0.64	0.783621	0.537371	242098	427660
s__Prevotella histicola GCA_000613925.1	1236504	GCA_000613925.1	0.63	0.564231	0.570748	376402	420978
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	0.5	0.766592	0.348262	210569	334109
s__Enterococcus faecalis GCA_000159275.1	525278	GCA_000159275.1	0.38	0.937107	0.160494	209258	253923
s__Anaerococcus prevotii GCA_000024105.1	525919	GCA_000024105.1	0.34	0.456659	0.41967	130615	227194
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	0.26	0.493559	0.293964	96760	173737
s__Anaerococcus hydrogenalis GCA_000191745.2	879306	GCA_000191745.2	0.25	0.637411	0.497657	97354	167055
s__Streptococcus pseudopneumoniae_E GCA_009731465.1	2598453	GCA_009731465.1	0.22999999999999998	0.305448	0.250622	90013	153690
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	0.21	0.376235	0.235018	82160	140326
s__Actinotignum timonense GCA_002860685.1	1870995	GCA_002860685.1	0.2	0.972692	0.97012	91665	133644
s__Winkia sp002849225 GCA_002849225.1	2066054	GCA_002849225.1	0.17	0.966797	0.847222	77269	113597
s__Streptococcus sp003428885 GCA_003428885.1	2283190	GCA_003428885.1	0.13	0.173768	0.10091	48747	86868
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	0.12	0.437596	0.299092	62257	80186
s__Peptoniphilus_A harei GCA_001815405.1	1739525	GCA_001815405.1	0.12	0.556095	0.538193	44993	80186
s__Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	GCA_000175635.1	0.11	0.440913	0.298815	51986	73504
s__Anaerococcus sp900258475 GCA_900258475.1	2057799	GCA_900258475.1	0.11	0.554639	0.555376	50335	73504
s__Staphylococcus hominis GCA_900109865.1	1566296	GCA_900109865.1	0.08	0.825934	0.184382	35861	53457
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	0.07	0.297898	0.208797	47512	46775
s__Finegoldia magna_H GCA_000221585.2	866779	GCA_000221585.2	0.07	0.239941	0.089156	29632	46775
s__Anaerococcus marasmi GCA_900290195.1	2057797	GCA_900290195.1	0.07	0.142628	0.064531	30473	46775
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	0.07	0.478376	0.478252	24135	46775
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	0.05	0.563411	0.564603	21383	33411
s__Lactobacillus gasseri GCA_015550315.1	1596	GCA_015550315.1	0.04	0.649569	0.35	12832	26729
s__Streptococcus mitis GCA_000506765.1	1415766	GCA_000506765.1	0.04	0.006564	0.009183	13573	26729
s__Falseniella ignava GCA_000301055.1	883112	GCA_000301055.1	0.04	0.398954	0.398702	14477	26729
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	0.04	0.052834	0.015511	20356	26729
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	0.04	0.235312	0.142497	24526	26729
s__Porphyromonas_A somerae GCA_000372405.1	1122975	GCA_000372405.1	0.04	0.376555	0.233913	20159	26729
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	0.04	0.516315	0.470052	13541	26729
s__Urinicoccus timonensis GCA_900232945.1	2024205	GCA_900232945.1	0.04	0.398465	0.209307	14675	26729
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	0.03	0.377924	0.291569	12937	20047
s__Gleimia urinae GCA_900119695.1	1689268	GCA_900119695.1	0.03	0.161355	0.141978	12271	20047
s__Staphylococcus epidermidis	1282		0.03	0.729954	0.253333	15790	20047
s__Negativicoccus succinicivorans GCA_000508525.1	1403945	GCA_000508525.1	0.03	0.461254	0.461254	6580	20047
s__Actinotignum schaalii_A GCA_000411135.1	883067	GCA_000411135.1	0.02	0.232423	0.084187	8588	13364
s__Pauljensenia radingae_A GCA_001457875.1	1673722	GCA_001457875.1	0.02	0.215184	0.122922	8835	13364
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	0.02	0.279982	0.279646	12280	13364
s__Streptococcus pasteurianus GCA_000146405.1	864569	GCA_000146405.1	0.02	0.449087	0.255113	7238	13364
