Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	Bacteria	14.19	0.428146	0.357355	568827	581977
s__Streptococcus anginosus GCA_001812815.1	1739380	GCA_001812815.1	Bacteria	11.69	0.89113	0.24698	441361	479444
s__Falseniella ignava GCA_000301055.1	883112	GCA_000301055.1	Bacteria	7.290000000000001	0.819502	0.819397	243161	298986
s__Actinotignum schaalii_A GCA_000411135.1	883067	GCA_000411135.1	Bacteria	5.98	0.286277	0.196771	244088	245259
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	5.42	0.999761	0.999761	330858	222291
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	4.93	0.661032	0.659222	244386	202195
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	Bacteria	3.19	0.765153	0.397185	128108	130832
JC polyomavirus	10632	GCF_000863805.1	Viruses	3.19	0.881978	0.881363	3252	130832
s__Corynebacterium sp001815985 GCA_001815985.1	1581065	GCA_001815985.1	Bacteria	3.03	0.581375	0.36322	129361	124270
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	Bacteria	2.3	0.329032	0.238722	144370	94330
s__Anaerococcus sp900258475 GCA_900258475.1	2057799	GCA_900258475.1	Bacteria	2.29	0.621742	0.621257	100336	93920
s__Facklamia hominis GCA_000301035.1	883111	GCA_000301035.1	Bacteria	1.9900000000000002	0.701726	0.407766	72720	81616
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	1.96	0.588411	0.547728	69195	80386
s__Brevibacterium ravenspurgense GCA_001806795.1	1581055	GCA_001806795.1	Bacteria	1.87	0.610737	0.292423	84010	76695
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	Bacteria	1.77	0.750322	0.750308	63465	72593
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	Bacteria	1.56	0.248934	0.150588	96573	63981
s__Aerococcus sp001809535 GCA_001836025.1	1715184	GCA_001836025.1	Bacteria	1.28	0.96478	0.638743	52179	52497
s__Actinotignum timonense GCA_002860685.1	1870995	GCA_002860685.1	Bacteria	1.21	0.109325	0.041823	54078	49626
s__Vaginimicrobium propionicum GCA_900155645.1	1871034	GCA_900155645.1	Bacteria	1.21	0.5902	0.59013	47989	49626
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	Bacteria	1.19	0.508939	0.508712	41773	48806
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	Bacteria	1.06	0.566451	0.552232	47592	43474
s__Staphylococcus lugdunensis GCA_001812005.1	1739335	GCA_001812005.1	Bacteria	0.98	0.916853	0.9151	48253	40193
s__Corynebacterium urealyticum GCA_000069945.1	504474	GCA_000069945.1	Bacteria	0.98	0.34412	0.13325	45025	40193
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	Bacteria	0.93	0.598375	0.202958	32360	38142
s__Pseudoglutamicibacter cumminsii_A GCA_003143995.1	156979	GCA_003143995.1	Bacteria	0.72	0.353074	0.345721	29391	29529
s__Corynebacterium aurimucosum_F GCA_000022905.1	548476	GCA_000022905.1	Bacteria	0.69	0.190357	0.182954	37373	28299
s__Winkia neuii GCA_001812065.1	1739339	GCA_001812065.1	Bacteria	0.67	0.757704	0.459959	31241	27479
s__Streptococcus agalactiae	1311		Bacteria	0.6	0.823401	0.689655	23646	24608
s__Corynebacterium imitans GCA_000739455.1	156978	GCA_000739455.1	Bacteria	0.6	0.439632	0.437705	30056	24608
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	Bacteria	0.59	0.275146	0.242634	23461	24198
s__Actinotignum schaalii GCA_000724605.1	59505	GCA_000724605.1	Bacteria	0.56	0.087852	0.037199	23977	22967
s__Peptoniphilus_B duerdenii GCA_000478945.1	1111133	GCA_000478945.1	Bacteria	0.54	0.431489	0.275914	20645	22147
s__Corynebacterium sp001815935 GCA_001815935.1	1581050	GCA_001815935.1	Bacteria	0.54	0.649928	0.649928	24652	22147
s__Aerococcus urinae_A GCA_000193205.1	2976812	GCA_000193205.1	Bacteria	0.5	0.524326	0.416482	20190	20507
s__Gleimia urinae GCA_900119695.1	1689268	GCA_900119695.1	Bacteria	0.49	0.170122	0.14858	18705	20096
s__Helcococcus sueciensis GCA_000423145.1	1121947	GCA_000423145.1	Bacteria	0.45999999999999996	0.638885	0.638608	14055	18866
s__Campylobacter_B ureolyticus GCA_000597825.1	827	GCA_000597825.1	Bacteria	0.43	0.449702	0.331464	13890	17636
s__Aerococcus urinae_D GCA_001809895.1	1715159	GCA_001809895.1	Bacteria	0.42	0.429622	0.269798	17539	17226
s__Porphyromonas_A somerae GCA_000372405.1	1122975	GCA_000372405.1	Bacteria	0.4099999999999999	0.386102	0.242973	18875	16815
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	Bacteria	0.4	0.420797	0.24924	14199	16405
s__Aerococcus urinae_B GCA_001811135.1	1739288	GCA_001811135.1	Bacteria	0.35	0.503024	0.399352	12833	14355
s__Peptoniphilus_A vaginalis GCA_900176605.1	1756987	GCA_900176605.1	Bacteria	0.35	0.14019	0.05266	12925	14355
s__Urinicoccus massiliensis GCA_900120405.1	1723382	GCA_900120405.1	Bacteria	0.35	0.424192	0.392032	13873	14355
s__Nosocomiicoccus ampullae_A GCA_001696685.1	489910	GCA_001696685.1	Bacteria	0.34	0.403949	0.123399	10315	13944
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	Bacteria	0.33	0.623759	0.313199	11768	13534
s__Fenollaria massiliensis GCA_001811395.1	1739304	GCA_001811395.1	Bacteria	0.33	0.371794	0.212828	10348	13534
s__Porphyromonas uenonis_A GCA_000174775.1	596327	GCA_000174775.1	Bacteria	0.33	0.269633	0.196056	13894	13534
