Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	14.66	0.428146	0.357355	568788	600736
s__Streptococcus anginosus GCA_001812815.1	1739380	GCA_001812815.1	12.07	0.89113	0.24698	441331	494603
s__Falseniella ignava GCA_000301055.1	883112	GCA_000301055.1	7.539999999999999	0.819502	0.819397	243144	308973
s__Actinotignum schaalii_A GCA_000411135.1	883067	GCA_000411135.1	6.18	0.286277	0.196771	244073	253243
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	5.6	0.999761	0.999761	330835	229476
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	5.09	0.661032	0.659222	244370	208577
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	3.3000000000000003	0.765153	0.397185	128099	135227
s__Corynebacterium sp001815985 GCA_001815985.1	1581065	GCA_001815985.1	3.1300000000000003	0.581375	0.36322	129352	128261
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	2.38	0.329032	0.238722	144360	97527
s__Anaerococcus sp900258475 GCA_900258475.1	2057799	GCA_900258475.1	2.36	0.621742	0.621257	100329	96708
s__Facklamia hominis GCA_000301035.1	883111	GCA_000301035.1	2.06	0.701726	0.407766	72715	84414
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	2.02	0.588411	0.547728	69191	82775
s__Brevibacterium ravenspurgense GCA_001806795.1	1581055	GCA_001806795.1	1.9299999999999997	0.610737	0.292423	84005	79087
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	1.83	0.750322	0.750308	63461	74990
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	1.6099999999999999	0.248934	0.150588	96566	65974
s__Aerococcus sp001809535 GCA_001836025.1	1715184	GCA_001836025.1	1.32	0.96478	0.638743	52176	54091
s__Actinotignum timonense GCA_002860685.1	1870995	GCA_002860685.1	1.25	0.109325	0.041823	54075	51222
s__Vaginimicrobium propionicum GCA_900155645.1	1871034	GCA_900155645.1	1.25	0.5902	0.59013	47986	51222
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	1.23	0.508939	0.508712	41770	50403
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	1.1	0.566451	0.552232	47589	45076
s__Corynebacterium urealyticum GCA_000069945.1	504474	GCA_000069945.1	1.02	0.34412	0.13325	45022	41797
s__Staphylococcus lugdunensis GCA_001812005.1	1739335	GCA_001812005.1	1.01	0.916853	0.9151	48250	41388
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	0.96	0.598375	0.202958	32358	39339
s__Pseudoglutamicibacter cumminsii_A GCA_003143995.1	156979	GCA_003143995.1	0.74	0.353074	0.345721	29388	30324
s__Corynebacterium aurimucosum_F GCA_000022905.1	548476	GCA_000022905.1	0.71	0.190357	0.182954	37370	29094
s__Winkia neuii GCA_001812065.1	1739339	GCA_001812065.1	0.7	0.757704	0.459959	31240	28685
s__Streptococcus agalactiae	1311		0.62	0.823401	0.689655	23644	25406
s__Corynebacterium imitans GCA_000739455.1	156978	GCA_000739455.1	0.62	0.439632	0.437705	30054	25406
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	0.61	0.275146	0.242634	23459	24997
s__Actinotignum schaalii GCA_000724605.1	59505	GCA_000724605.1	0.58	0.087852	0.037199	23976	23767
s__Peptoniphilus_B duerdenii GCA_000478945.1	1111133	GCA_000478945.1	0.55	0.431489	0.275914	20644	22538
s__Corynebacterium sp001815935 GCA_001815935.1	1581050	GCA_001815935.1	0.55	0.649928	0.649928	24650	22538
s__Aerococcus urinae_A GCA_000193205.1	2976812	GCA_000193205.1	0.52	0.524326	0.416482	20188	21309
s__Gleimia urinae GCA_900119695.1	1689268	GCA_900119695.1	0.5	0.170122	0.14858	18703	20489
s__Helcococcus sueciensis GCA_000423145.1	1121947	GCA_000423145.1	0.4699999999999999	0.638885	0.638608	14054	19260
s__Aerococcus urinae_D GCA_001809895.1	1715159	GCA_001809895.1	0.44	0.429622	0.269798	17538	18030
s__Campylobacter_B ureolyticus GCA_000597825.1	827	GCA_000597825.1	0.44	0.449702	0.331464	13889	18030
s__Porphyromonas_A somerae GCA_000372405.1	1122975	GCA_000372405.1	0.42	0.386102	0.242973	18874	17211
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	0.4099999999999999	0.420797	0.24924	14198	16801
s__Aerococcus urinae_B GCA_001811135.1	1739288	GCA_001811135.1	0.36	0.503024	0.399352	12833	14752
s__Peptoniphilus_A vaginalis GCA_900176605.1	1756987	GCA_900176605.1	0.36	0.14019	0.05266	12924	14752
s__Urinicoccus massiliensis GCA_900120405.1	1723382	GCA_900120405.1	0.36	0.424192	0.392032	13871	14752
s__Nosocomiicoccus ampullae_A GCA_001696685.1	489910	GCA_001696685.1	0.35	0.403949	0.123399	10314	14342
s__Porphyromonas uenonis_A GCA_000174775.1	596327	GCA_000174775.1	0.35	0.269633	0.196056	13893	14342
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	0.34	0.623759	0.313199	11767	13932
s__Fenollaria massiliensis GCA_001811395.1	1739304	GCA_001811395.1	0.34	0.371794	0.212828	10347	13932
s__Porphyromonas uenonis GCA_000482365.1	1122976	GCA_000482365.1	0.32	0.318832	0.258796	13579	13113
s__Staphylococcus simulans GCA_001838445.1	1739455	GCA_001838445.1	0.3	0.493476	0.38065	14501	12293
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	0.29	0.182469	0.123772	16326	11884
