Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
g__Streptococcus	1301		14.39	0.48227	0.334532	553680	578213
s__Falseniella ignava GCA_000301055.1	883112	GCA_000301055.1	7.739999999999999	0.747006	0.746859	250283	311005
s__Facklamia hominis GCA_000413455.1	883110	GCA_000413455.1	6.88	0.708995	0.427927	244765	276449
s__Staphylococcus haemolyticus GCA_001922505.1	1663564	GCA_001922505.1	4.9	0.922802	0.397498	205262	196890
s__Streptococcus mitis_BE GCA_001808785.1	1715180	GCA_001808785.1	3.9900000000000007	0.078607	0.06028	151959	160324
s__Streptococcus symci GCA_000722755.1	28037	GCA_000722755.1	3.04	0.07279	0.042186	119296	122152
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	3.04	0.523348	0.173891	102807	122152
s__Trueperella bernardiae GCA_001808405.1	1581135	GCA_001808405.1	2.66	0.884638	0.271806	104436	106883
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	2.64	0.64556	0.645823	91633	106079
s__Aerococcus sp001809535 GCA_001809535.1	1715105	GCA_001809535.1	2.18	0.990182	0.943567	88587	87596
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	2.09	0.57609	0.535393	71794	83979
s__Streptococcus sp001650315 GCA_001650315.1	1860161	GCA_001650315.1	2.07	0.02378	0.021739	74824	83176
s__Streptococcus mitis_AI GCA_000385835.1	1239793	GCA_000385835.1	1.97	0.039601	0.022018	74825	79158
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	1.92	0.500085	0.500021	65411	77149
s__Streptococcus chosunense GCA_000430345.1	1340485	GCA_000430345.1	1.8900000000000001	0.01984	0.017163	67501	75943
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	1.6399999999999997	0.724192	0.297185	63665	65898
s__Corynebacterium aurimucosum_F GCA_000022905.1	548476	GCA_000022905.1	1.53	0.163811	0.157372	80348	61478
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	1.49	0.309656	0.201285	72034	59871
s__Streptococcus mitis GCA_000722835.1	28037	GCA_000722835.1	1.46	0.012654	0.010601	52767	58665
s__Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	GCA_000175635.1	1.44	0.314977	0.206696	64906	57861
s__Streptococcus sp000411475 GCA_000411475.1	1203590	GCA_000411475.1	1.4	0.007941	0.006145	46050	56254
s__Streptococcus mitis_AK GCA_000148505.2	585202	GCA_000148505.2	1.38	0.017075	0.015531	49037	55451
