GO ID	GO Category	GO Description	Copies per Million (CPM)	Relative Abundance
GO:0016021	Cellular_Components	integral component of membrane	81733.7	8.203477532860314
GO:0005524	Molecular_Functions	ATP binding	37781.1	3.792027095515666
GO:0003677	Molecular_Functions	DNA binding	33088.9	3.3210786705736024
GO:0005737	Cellular_Components	cytoplasm	24219.9	2.4309116741090095
GO:0016020	Cellular_Components	membrane	22893.1	2.297742932321973
GO:0005886	Cellular_Components	plasma membrane	16500.3	1.6561080721349337
GO:0016787	Molecular_Functions	hydrolase activity	12836.2	1.2883483594564002
GO:0022857	Molecular_Functions	transmembrane transporter activity	11507.8	1.155019028291267
GO:0046872	Molecular_Functions	metal ion binding	11385.9	1.1427841250474926
GO:0003700	Molecular_Functions	DNA-binding transcription factor activity	11164	1.1205123856726484
GO:0016740	Molecular_Functions	transferase activity	11140.1	1.118113581837323
GO:0055085	Biological_Processes	transmembrane transport	11106.2	1.11471109438889
GO:0016491	Molecular_Functions	oxidoreductase activity	11085.8	1.1126635798181517
GO:0006355	Biological_Processes	regulation of transcription, DNA-templated	10658.9	1.069816326374614
GO:0005975	Biological_Processes	carbohydrate metabolic process	9580.14	0.961542952927084
GO:0016887	Molecular_Functions	ATPase activity	5992.93	0.60150056354973
GO:0016829	Molecular_Functions	lyase activity	5925.37	0.5947196770595792
GO:0016301	Molecular_Functions	kinase activity	5772.29	0.5793552883101372
GO:0009401	Biological_Processes	phosphoenolpyruvate-dependent sugar phosphotransferase system	5640.72	0.5661498230124885
GO:0003723	Molecular_Functions	RNA binding	5453.9	0.5473990057524236
GO:0000287	Molecular_Functions	magnesium ion binding	5243.69	0.5263005725213015
GO:0008270	Molecular_Functions	zinc ion binding	5099.01	0.5117792780068696
GO:0006313	Biological_Processes	transposition, DNA-mediated	4919.38	0.4937501092646286
GO:0043565	Molecular_Functions	sequence-specific DNA binding	4881.22	0.48992005259701227
GO:0003824	Molecular_Functions	catalytic activity	4653.62	0.4670762135626971
GO:0006412	Biological_Processes	translation	4342.07	0.43580645059634865
GO:0003676	Molecular_Functions	nucleic acid binding	4277.82	0.42935778338213626
GO:0004803	Molecular_Functions	transposase activity	4190.66	0.42060967701029567
GO:0005840	Cellular_Components	ribosome	4143.95	0.41592147085347286
GO:0030170	Molecular_Functions	pyridoxal phosphate binding	4080.23	0.40952599887075514
GO:0003735	Molecular_Functions	structural constituent of ribosome	4037.66	0.4052533177297587
GO:0000160	Biological_Processes	phosphorelay signal transduction system	3982.25	0.3996919068295328
GO:0005887	Cellular_Components	integral component of plasma membrane	3953.6	0.39681635327798126
GO:0008233	Molecular_Functions	peptidase activity	3945.06	0.3959592074723879
GO:0009055	Molecular_Functions	electron transfer activity	3899.87	0.3914235612247574
GO:0051539	Molecular_Functions	4 iron, 4 sulfur cluster binding	3887.41	0.39017297144282603
GO:0009058	Biological_Processes	biosynthetic process	3882.15	0.38964503386233185
GO:0006281	Biological_Processes	DNA repair	3747.18	0.3760983161362267
GO:0042597	Cellular_Components	periplasmic space	3711.07	0.37247401460929735
GO:0004673	Molecular_Functions	protein histidine kinase activity	3560.61	0.35737259096648955
GO:0008168	Molecular_Functions	methyltransferase activity	3481.52	0.34943445727042627
GO:0005525	Molecular_Functions	GTP binding	3337.12	0.3349412658971613
GO:0006260	Biological_Processes	DNA replication	3317.71	0.3329931160041206
GO:0009279	Cellular_Components	cell outer membrane	3209.73	0.32215534034979126
GO:0005829	Cellular_Components	cytosol	3099.94	0.3111358979614896
GO:0009297	Biological_Processes	pilus assembly	3094.87	0.31062703036964434
GO:0051301	Biological_Processes	cell division	3041.35	0.3052553156722957
GO:0007155	Biological_Processes	cell adhesion	3014.81	0.30259153936310973
GO:0008982	Molecular_Functions	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	2996.78	0.30078189780867787
GO:0050660	Molecular_Functions	flavin adenine dinucleotide binding	2947.17	0.29580262340405405
GO:0006310	Biological_Processes	DNA recombination	2944.31	0.29551556989070543
GO:0015473	Molecular_Functions	fimbrial usher porin activity	2932.62	0.29434226374698336
GO:0030288	Cellular_Components	outer membrane-bounded periplasmic space	2919.21	0.29299632402180686
GO:0016874	Molecular_Functions	ligase activity	2917.17	0.29279157256473304
GO:0043190	Cellular_Components	ATP-binding cassette (ABC) transporter complex	2903.4	0.29140950022948475
GO:0015074	Biological_Processes	DNA integration	2852.67	0.28631781326019295
GO:0051287	Molecular_Functions	NAD binding	2806.38	0.28167176181512066
GO:0051536	Molecular_Functions	iron-sulfur cluster binding	2804.58	0.2814910987647614
GO:0009289	Cellular_Components	pilus	2693.6	0.2703522180265
GO:0016853	Molecular_Functions	isomerase activity	2624.27	0.2633936795368292
GO:0019867	Cellular_Components	outer membrane	2594.05	0.26036054765801986
