Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Bifidobacterium longum GCA_902167545.1	1679	GCA_902167545.1	36.5	0.94731	0.830117	7169411	7232945
s__Bifidobacterium dentium GCA_002075955.1	1689	GCA_002075955.1	21.64	0.958233	0.69957	4585746	4288245
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	18.79	0.466333	0.393514	3141861	3723481
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	4.38	0.303552	0.220468	1146981	867953
s__Lactobacillus crispatus GCA_009857395.1	47770	GCA_009857395.1	2.47	0.692905	0.196925	438578	489462
s__Winkia sp002849225 GCA_002872055.1	2069311	GCA_002872055.1	2.21	0.828107	0.515103	395313	437940
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	1.73	0.654697	0.274605	252402	342822
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	1.28	0.663756	0.663487	281988	253648
s__Staphylococcus hominis GCA_001815595.1	1739538	GCA_001815595.1	0.83	0.860997	0.796775	142618	164475
s__Escherichia coli GCA_000249595.2	868160	GCA_000249595.2	0.78	0.126046	0.038028	316948	154567
s__Staphylococcus epidermidis	1282		0.72	0.992722	0.465116	136500	142677
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	0.72	0.789681	0.766752	106281	142677
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	0.62	0.30127	0.197305	129470	122861
s__Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	GCA_000175635.1	0.62	0.303964	0.194489	119766	122861
s__Anaerococcus vaginalis_B GCA_000307225.1	33037	GCA_000307225.1	0.59	0.649175	0.642857	94380	116916
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	0.58	0.789569	0.7868	95818	114934
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	0.37	0.550151	0.338689	54244	73320
s__Lactobacillus paragasseri GCA_014269295.2	2107999	GCA_014269295.2	0.35	0.949005	0.230769	52648	69357
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	0.35	0.798852	0.557942	52032	69357
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	0.34	0.030579	0.016084	84309	67375
s__Prevotella bergensis GCA_000160535.1	585502	GCA_000160535.1	0.25	0.516511	0.521246	68239	49541
s__Dialister micraerophilus GCA_000194985.1	888062	GCA_000194985.1	0.22999999999999998	0.719608	0.589299	23077	45577
s__Bradyrhizobium sp003020075 GCA_003020075.1	2133945	GCA_003020075.1	0.21	0.425384	0.451587	130278	41614
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	0.17	0.645735	0.404305	28730	33688
s__Anaerococcus vaginimassiliensis GCA_000191725.2	879305	GCA_000191725.2	0.17	0.563119	0.460919	23440	33688
s__Anaerococcus lactolyticus GCA_000758765.1	1284686	GCA_000758765.1	0.17	0.566598	0.306834	27779	33688
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	0.16	0.29884	0.135816	25113	31706
s__Aerococcus urinae_D GCA_001809895.1	1715159	GCA_001809895.1	0.15	0.416431	0.33786	25272	29724
s__Prevotella sp000479005 GCA_000479005.1	1111130	GCA_000479005.1	0.15	0.017299	0.008003	34103	29724
s__Prevotella colorans GCA_003096815.1	1703337	GCA_003096815.1	0.15	0.006935	0.005545	34728	29724
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	0.15	0.85852	0.85852	36923	29724
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	0.14	0.578834	0.576538	28503	27743
s__Prevotella sp900547085 GCA_900547085.1	159272	GCA_900547085.1	0.14	0.022811	0.010866	24123	27743
s__Aerococcus urinae_B GCA_001811135.1	1739288	GCA_001811135.1	0.1	0.388595	0.296867	15524	19816
s__Bradyrhizobium viridifuturi GCA_002289535.1	418599	GCA_002289535.1	0.1	0.063233	0.012845	68126	19816
s__Peptoniphilus_A vaginalis GCA_900176605.1	1756987	GCA_900176605.1	0.09	0.134534	0.036181	13314	17835
