Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Bifidobacterium longum GCA_902167545.1	1679	GCA_902167545.1	97.71	0.721643	0.373818	11911394	11960797
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	0.43	0.640579	0.6384	55882	52637
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	0.4099999999999999	0.965124	0.965124	65059	50189
s__Enterococcus faecalis GCA_002944575.1	1351	GCA_002944575.1	0.39	0.510233	0.01605	55545	47740
s__Veillonella atypica GCA_002959915.1	1128111	GCA_002959915.1	0.36	0.325742	0.063645	37142	44068
s__Enterococcus_A raffinosus GCA_001886185.1	71452	GCA_001886185.1	0.15	0.55711	0.557992	31239	18362
s__Staphylococcus epidermidis	1282		0.13	0.564135	0.703704	14904	15913
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	0.07	0.240717	0.10505	7259	8569
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	0.05	0.222656	0.222519	4730	6121
s__Staphylococcus hominis GCA_001809205.1	1715041	GCA_001809205.1	0.04	0.287768	0.021164	4015	4896
s__Bradyrhizobium sp003020075 GCA_000465325.1	1230476	GCA_000465325.1	0.04	0.1051	0.14027	16432	4896
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	0.02	0.0502	0.013596	2013	2448
s__Haemophilus_D sp001679485 GCA_001679485.1	1859695	GCA_001679485.1	0.02	0.062865	0.03012	2041	2448
s__Haemophilus_D parainfluenzae_L	862965		0.02	0.035673	0.024403	1697	2448
s__Haemophilus_D parainfluenzae_M GCA_001814055.1	1739452	GCA_001814055.1	0.02	0.07044	0.046404	2078	2448
s__Haemophilus_D sp001815355 GCA_001815355.1	1739522	GCA_001815355.1	0.02	0.048446	0.021552	1629	2448
s__Bradyrhizobium viridifuturi GCA_002289535.1	418599	GCA_002289535.1	0.02	0.032794	0.010422	9919	2448
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	0.01	0.074614	0.072639	1272	1224
s__Cutibacterium avidum	33010		0.01	0.024788	0.042705	773	1224
s__Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	GCA_000175635.1	0.01	0.048874	0.028961	1229	1224
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	0.01	0.047822	0.02838	812	1224
s__Klebsiella pneumoniae GCA_000822665.1	573	GCA_000822665.1	0.01	0.061308	0.017005	2310	1224
s__Proteus mirabilis GCA_000313255.1	1245027	GCA_000313255.1	0.01	0.072729	0.010191	1760	1224
s__Haemophilus_D parainfluenzae_A GCA_000210895.1	862965	GCA_000210895.1	0.01	0.043412	0.018833	1108	1224
s__Haemophilus_D parainfluenzae GCA_000191405.1	888828	GCA_000191405.1	0.01	0.029226	0.010816	790	1224
s__Haemophilus_D sp927911595 GCA_001810345.1	1715211	GCA_001810345.1	0.01	0.047758	0.02211	1174	1224
s__Haemophilus_D sp015255025 GCA_001838635.1	1608898	GCA_001838635.1	0.01	0.041218	0.016731	684	1224
s__Bradyrhizobium sp002532045 GCA_002532045.1	142585	GCA_002532045.1	0.01	0.022087	0.007789	6229	1224
