Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Enterococcus faecalis	1351		99.15	1	1	11308318	11296341
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	0.33	0.877829	0.877829	39182	37598
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	0.31	0.578976	0.57669	29819	35319
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	0.07	0.197647	0.104501	4764	7975
s__Cutibacterium avidum GCA_000413335.1	1203571	GCA_000413335.1	0.04	0.098602	0.081712	3990	4557
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	0.02	0.102375	0.030142	1569	2279
s__Lactobacillus crispatus	47770		0.01	0.0657	0.0657	981	1139
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	0.01	0.046119	0.012767	868	1139
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	0.01	0.049836	0.021418	589	1139
s__Anaerococcus prevotii GCA_000024105.1	525919	GCA_000024105.1	0.01	0.06742	0.049762	617	1139
s__Anaerococcus marasmi GCA_900290195.1	2057797	GCA_900290195.1	0.01	0.047721	0.028833	523	1139
s__Peptoniphilus_A harei GCA_001815405.1	1739525	GCA_001815405.1	0.01	0.086973	0.084753	720	1139
s__Winkia sp002849225 GCA_001807435.1	1581131	GCA_001807435.1	0.01	0.024168	0.042065	654	1139
s__Corynebacterium amycolatum_A GCA_001809065.1	1715027	GCA_001809065.1	0.01	0.020204	0.019384	589	1139
