Enzyme ID	Name	Copies per Million (CPM)	Relative Abundance
2.7.13.3	Histidine kinase	31807.4	3.1807396889554655
2.7.7.7	DNA-directed DNA polymerase	12906.5	1.2906498737873486
3.6.4.12	DNA helicase	11022.4	1.1022398922119607
1.6.5.11	NADH dehydrogenase (quinone)	9217.31	0.9217309098639341
3.6.3.17	Transferred entry 7.5.2.8	7579.53	0.7579529258797832
5.2.1.8	Peptidylprolyl isomerase	7311.1	0.73110992850476
3.1.4.52	Cyclic-guanylate-specific phosphodiesterase	5914.91	0.5914909421581006
2.7.7.65	Diguanylate cyclase	5705.99	0.5705989442011291
1.7.99.4	Nitrate reductase	5272.71	0.5272709484381739
2.2.1.6	Acetolactate synthase	5257.31	0.5257309485887705
3.1.11.5	Exodeoxyribonuclease V	5007.62	0.5007619510304887
1.17.4.1	Ribonucleoside-diphosphate reductase	4838.86	0.48388595268079254
2.7.7.6	DNA-directed RNA polymerase	4593.13	0.4593129550837861
1.4.1.13	Glutamate synthase (NADPH)	4421.74	0.44217395675980864
2.4.1.1	Glycogen phosphorylase	4302.32	0.43023195792761676
3.2.1.86	6-phospho-beta-glucosidase	4181.38	0.41813795911028895
3.4.16.4	Serine-type D-Ala-D-Ala carboxypeptidase	4052.91	0.4052909603665969
3.5.1.28	N-acetylmuramoyl-L-alanine amidase	4051.23	0.40512296038302564
3.6.4.13	RNA helicase	3904.88	0.39048796181418216
2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	3741.19	0.3741189634149065
1.7.2.3	Trimethylamine-N-oxide reductase	3652.39	0.3652389642832816
3.4.21.107	Peptidase Do	3619.05	0.3619049646093135
1.8.5.3	Respiratory dimethylsulfoxide reductase	3556.67	0.35566696521932745
1.17.1.9	Formate dehydrogenase	3519.85	0.3519849655793902
2.4.1.129	Peptidoglycan glycosyltransferase	3436.12	0.34361196639818575
1.6.5.5	NADPH:quinone reductase	3279.44	0.32794396793035935
6.1.1.6	Lysine--tRNA ligase	3269.33	0.326932968029225
2.3.1.54	Formate C-acetyltransferase	3262.74	0.3262739680936686
1.12.99.6	Hydrogenase (acceptor)	3234.36	0.32343596837119665
1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	3207.59	0.3207589686329804
1.17.1.4	Xanthine dehydrogenase	3187.88	0.31878796882572447
4.1.1.17	Ornithine decarboxylase	3159.15	0.31591496910667516
1.1.1.3	Homoserine dehydrogenase	3062.84	0.3062839700484905
2.5.1.54	3-deoxy-7-phosphoheptulonate synthase	3057.62	0.30576197009953693
4.2.1.2	Fumarate hydratase	3023.77	0.302376970430556
3.1.3.11	Fructose-bisphosphatase	3021.97	0.3021969704481582
3.6.3.14	Transferred entry 7.1.2.2	2938	0.29379997126930074
1.1.1.1	Alcohol dehydrogenase	2914.68	0.291467971497347
4.3.1.17	L-serine ammonia-lyase	2791	0.27909997270681364
6.5.1.2	DNA ligase (NAD(+))	2723.85	0.2723849733634734
4.1.1.18	Lysine decarboxylase	2660.04	0.26600397398747133
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	2635.67	0.26356697422578557
2.2.1.2	Transaldolase	2558.37	0.25583697498170216
3.6.3.12	Transferred entry 7.2.2.6	2548.17	0.254816975081448
