Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Streptococcus anginosus GCA_001835825.1	1715089	GCA_001835825.1	25.35	0.900592	0.399654	884771	1067436
s__Bifidobacterium breve GCA_002838565.1	1685	GCA_002838565.1	9.71	0.98179	0.700549	455208	408868
s__Prevotella bivia GCA_000262545.1	868129	GCA_000262545.1	6.99	0.762983	0.765041	339806	294334
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	5.46	0.829307	0.480546	216652	229909
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	4.7	0.362704	0.26015	291292	197907
s__Finegoldia magna_H GCA_000582635.1	1459804	GCA_000582635.1	4.62	0.564887	0.183701	168293	194539
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	3.7900000000000005	0.99247	0.992457	147801	159589
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	2.76	0.245206	0.14265	169087	116218
s__Bifidobacterium vaginale GCA_013315005.1	2702	GCA_013315005.1	2.47	0.803023	0.045833	79082	104007
s__Corynebacterium riegelii GCA_001806945.1	1581072	GCA_001806945.1	1.91	0.62978	0.616091	93625	80426
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	1.7500000000000002	0.301994	0.211399	101425	73689
s__Atopobium deltae GCA_001552785.1	1393034	GCA_001552785.1	1.5700000000000003	0.799726	0.799675	43962	66109
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	1.55	0.460968	0.422825	54024	65267
s__Corynebacterium tuscaniense GCA_000759055.1	1401064	GCA_000759055.1	1.32	0.663022	0.663003	56584	55582
s__Porphyromonas uenonis GCA_000482365.1	1122976	GCA_000482365.1	1.31	0.542774	0.50509	57138	55161
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	1.21	0.582014	0.567095	53559	50951
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	1.15	0.579677	0.575175	59945	48424
s__Prevotella sp900547085 GCA_900547085.1	159272	GCA_900547085.1	1.09	0.250943	0.139812	44476	45898
s__Anaerococcus vaginalis_B GCA_000307225.1	33037	GCA_000307225.1	1.04	0.559152	0.551487	39195	43792
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	0.9399999999999998	0.624225	0.297092	32827	39581
s__Trueperella bernardiae GCA_001808465.1	1581142	GCA_001808465.1	0.93	0.691005	0.421622	35638	39160
