Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	18.75	0.999761	0.999761	527466	423519
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	16.63	0.661419	0.659611	380517	375633
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	8.48	0.672249	0.672501	140130	191543
s__Streptococcus anginosus GCA_001838535.1	1739287	GCA_001838535.1	8.22	0.90353	0.226006	147373	185671
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	7.980000000000001	0.725466	0.727641	146608	180250
s__Anaerococcus lactolyticus GCA_000758765.1	1284686	GCA_000758765.1	6.4399999999999995	0.579744	0.314946	113155	145465
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	4.47	0.493583	0.129016	71869	100967
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	4.07	0.39898	0.357151	66425	91932
s__Porphyromonas_A bennonis GCA_000375645.1	1122971	GCA_000375645.1	2.2	0.368783	0.349336	40268	49693
s__Anaerococcus vaginalis_B GCA_000307225.1	33037	GCA_000307225.1	1.7000000000000002	0.502907	0.496404	30016	38399
s__Lawsonella clevelandensis GCA_001281505.1	1528099	GCA_001281505.1	1.6	0.088531	0.148091	27875	36140
s__Rothia amarae GCA_001683935.1	1848190	GCA_001683935.1	1.47	0.589555	0.589555	30421	33204
s__Comamonas tsuruhatensis GCA_001017795.1	558537	GCA_001017795.1	1.18	0.472	0.059121	71689	26653
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	1	0.288492	0.207275	29084	22588
s__Dialister micraerophilus GCA_000194985.1	888062	GCA_000194985.1	0.97	0.567157	0.466819	10775	21910
s__Prevotella bivia GCA_000262545.1	868129	GCA_000262545.1	0.84	0.505682	0.508275	19024	18974
s__Ralstonia pickettii_B GCA_000372665.1	1264675	GCA_000372665.1	0.78	0.504853	0.477675	33431	17618
s__Porphyromonas uenonis GCA_000482365.1	1122976	GCA_000482365.1	0.76	0.364624	0.338879	15459	17167
s__Bradyrhizobium sp003020075 GCA_003020075.1	2133945	GCA_003020075.1	0.73	0.442675	0.439683	49540	16489
s__Peptoniphilus_A vaginalis GCA_900176605.1	1756987	GCA_900176605.1	0.72	0.094183	0.025076	12242	16263
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	0.7	0.061194	0.018961	11498	15811
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	0.7	0.220239	0.1311	20063	15811
s__Winkia sp002849225 GCA_001807435.1	1581131	GCA_001807435.1	0.66	0.442651	0.206501	12974	14908
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	0.57	0.052291	0.014958	13121	12875
s__Pseudomonas_E antarctica_A GCA_001647715.1	219572	GCA_001647715.1	0.51	0.092576	0.085814	29900	11520
s__Veillonella parvula_A	29466		0.49	0.213028	0.029172	9098	11068
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	0.48	0.057632	0.01117	8195	10842
s__Streptococcus thermophilus GCA_000521305.1	1423145	GCA_000521305.1	0.42	0.377182	0.029915	6591	9487
s__Slackia exigua GCA_000293015.1	1111137	GCA_000293015.1	0.42	0.193789	0.112165	7913	9487
s__Cutibacterium acnes	1747		0.37	0.084353	0.040689	8369	8357
s__Methylobacterium thiocyanatum GCA_000019945.1	441620	GCA_000019945.1	0.36	0.177513	0.170911	18603	8132
s__Veillonella parvula GCA_016127175.1	29466	GCA_016127175.1	0.34	0.111656	0.015607	6509	7680
s__Porphyromonas_A sp001808555 GCA_001808555.1	1739394	GCA_001808555.1	0.32	0.137365	0.101011	6143	7228
s__Comamonas acidovorans GCA_002193035.1	1472718	GCA_002193035.1	0.29	0.185608	0.023052	18056	6550
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	0.28	0.020782	0.028635	4558	6325
s__Agrobacterium oryzihabitans GCA_000219665.2	1050720	GCA_000219665.2	0.28	0.167599	0.163008	12901	6325
s__Peptoniphilus_A harei GCA_001815405.1	1739525	GCA_001815405.1	0.25	0.034637	0.010457	4158	5647
s__Stenotrophomonas sp002192255 GCA_001939825.1	1641707	GCA_001939825.1	0.24	0.033692	0.012035	10472	5421
s__Anaerococcus obesiensis GCA_000311745.1	1118056	GCA_000311745.1	0.22999999999999998	0.052659	0.026053	4122	5195
s__Anaerococcus jeddahensis GCA_001182725.1	1673719	GCA_001182725.1	0.22	0.036509	0.012658	3667	4969
s__Meiothermus_B silvanus GCA_000092125.1	526227	GCA_000092125.1	0.21	0.096553	0.096026	5865	4743
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	0.18	0.037915	0.01051	3633	4066
s__Varibaculum cambriense_A GCA_000508625.1	1403948	GCA_000508625.1	0.18	0.061239	0.032719	3616	4066
s__Peptoniphilus_C pacaensis GCA_900088125.1	1776390	GCA_900088125.1	0.17	0.031418	0.026988	2853	3840
s__Stenotrophomonas maltophilia_A GCA_000758465.1	40324	GCA_000758465.1	0.17	0.051397	0.02666	6932	3840
s__Stenotrophomonas maltophilia_F	40324		0.13	0.01245	0.00898	5492	2936
s__Peptoniphilus_A lacydonensis GCA_900106515.1	1673725	GCA_900106515.1	0.12	0.041478	0.030526	1924	2711
s__Phyllobacterium myrsinacearum GCA_002980555.1	28101	GCA_002980555.1	0.12	0.042048	0.039788	5746	2711
s__Porphyromonas uenonis_A GCA_000174775.1	596327	GCA_000174775.1	0.1	0.10989	0.034039	1974	2259
s__Stenotrophomonas sepilia GCA_000346445.1	1235458	GCA_000346445.1	0.1	0.018268	0.009072	4004	2259
s__Staphylococcus epidermidis GCA_000276165.1	979218	GCA_000276165.1	0.09	0.111361	0.027972	1908	2033
s__Urinicoccus timonensis GCA_900232945.1	2024205	GCA_900232945.1	0.09	0.043637	0.028128	1510	2033
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	0.09	0.027628	0.013513	2411	2033
s__Dialister invisus GCA_000160055.1	592028	GCA_000160055.1	0.09	0.073845	0.07378	1628	2033
s__Blautia_A wexlerae GCA_013301945.1	418240	GCA_013301945.1	0.07	0.074213	0.022037	2468	1581
s__Anaerococcus hydrogenalis GCA_000191745.2	879306	GCA_000191745.2	0.06	0.17372	0.128319	1115	1355
s__Micrococcus luteus	1270		0.06	0.065138	0.062769	1388	1355
s__Fannyhessea vaginae GCA_000159235.2	525256	GCA_000159235.2	0.06	0.038056	0.037864	824	1355
s__Meiothermus_B sp003226535 GCA_003226535.1	873128	GCA_003226535.1	0.06	0.032398	0.028697	1758	1355
s__Oliverpabstia intestinalis GCA_003478705.1	2292964	GCA_003478705.1	0.05	0.038656	0.035113	1431	1129
s__Anaerococcus senegalensis GCA_000321005.2	1033733	GCA_000321005.2	0.05	0.042305	0.024776	833	1129
s__Prevotella sp900547085 GCA_900547085.1	159272	GCA_900547085.1	0.05	0.023806	0.011666	1035	1129
s__Prevotella sp000479005 GCA_000479005.1	1111130	GCA_000479005.1	0.05	0.019031	0.008921	1208	1129
s__Rothia kristinae GCA_004362545.1	2183991	GCA_004362545.1	0.05	0.048019	0.027419	1062	1129
g__Rothia	508215		0.05	0.069343	0.069343	1127	1129
s__Staphylococcus pasteuri GCA_003970495.1	33028	GCA_003970495.1	0.04	0.056239	0.028486	911	904
s__Blautia_A obeum	40520		0.04	0.053766	0.066667	1171	904
s__Paraburkholderia fungorum GCA_000685055.1	1218077	GCA_000685055.1	0.04	0.028209	0.015241	2883	904
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	0.04	0.026269	0.026255	920	904
s__Gemmiger formicilis GCA_900167555.1	745368	GCA_900167555.1	0.03	0.02101	0.020911	758	678
s__Cutibacterium modestum	2559073		0.03	0.017187	0.016768	756	678
s__Lacticaseibacillus rhamnosus	47715		0.02	0.027261	0.041026	607	452
s__Enterococcus faecalis	1351		0.02	0.023649	0.023649	455	452
s__Staphylococcus warneri GCA_001019115.2	2201033	GCA_001019115.2	0.02	0.021553	0.015165	477	452
s__Methylobacterium fujisawaense	107400		0.02	0.016666	0.010886	1147	452
s__Dermacoccus nishinomiyaensis	1274		0.02	0.020786	0.011373	542	452
g__Kocuria	57493		0.02	0.021902	0.021706	564	452
g__Corynebacterium	1716		0.02	0.01208	0.012067	368	452
s__Blautia_A massiliensis	89014		0.01	0.037231	0.037231	430	226
s__Blautia_A faecis	871665		0.01	0.015672	0.016113	456	226
s__CAG-41 sp900066215	59620		0.01	0.00838	0.00838	173	226
g__Pelomonas	335058		0.01	0.032595	0.032595	282	226
s__Roseomonas mucosa	207340		0.01	0.003888	0.003925	304	226
s__Bradyrhizobium japonicum_C GCA_000421305.1	1304879	GCA_000421305.1	0.01	0.014124	0.015625	997	226
s__Sphingobium limneticum	1007511		0.01	0.008846	0.008846	304	226
s__Kocuria rhizophila	72000		0.01	0.012247	0.012008	238	226
