ID	Name	Copies per Million (CPM)	Relative Abundance
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	35676.4	3.567639932214843
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	35438	3.543799932667803
LACTOSECAT-PWY	lactose and galactose degradation I	21352.1	2.1352099594310117
PWY-8178	pentose phosphate pathway (non-oxidative branch) II	18273.2	1.8273199652809218
PWY-8187	L-arginine degradation XIII (reductive Stickland reaction)	18050.9	1.8050899657032917
PWY-6609	adenine and adenosine salvage III	17547.1	1.7547099666605115
PWY-5265	peptidoglycan biosynthesis II (staphylococci)	15078.6	1.5078599713506613
PWY0-1296	purine ribonucleosides degradation	14955.9	1.4955899715837913
PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation	14801.1	1.4801099718779112
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	14650.2	1.4650199721646213
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	13587.5	1.358749974183751
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	13587.5	1.358749974183751
PWY66-429	fatty acid biosynthesis initiation (mitochondria)	13523.6	1.3523599743051613
TRNA-CHARGING-PWY	tRNA charging	13303.7	1.3303699747229714
PWY-6123	inosine-5'-phosphate biosynthesis I	12301.9	1.230189976626391
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	12218.7	1.2218699767844712
PWY-6124	inosine-5'-phosphate biosynthesis II	12081.1	1.2081099770459112
PWY-7238	sucrose biosynthesis II	11860.7	1.186069977464671
PWY-6317	D-galactose degradation I (Leloir pathway)	11802.1	1.180209977576011
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	11700.2	1.1700199777696212
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	11614.7	1.1614699779320712
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	11437.4	1.1437399782689408
PWY-6151	S-adenosyl-L-methionine salvage I	11431.6	1.143159978279961
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	11359.3	1.135929978417331
PWY-621	sucrose degradation III (sucrose invertase)	11317.6	1.1317599784965608
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	11253.6	1.1253599786181612
ARO-PWY	chorismate biosynthesis I	11191.6	1.119159978735961
PWY-5941	glycogen degradation II	11010.4	1.1010399790802408
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	10950.2	1.0950199791946211
PWY-841	superpathway of purine nucleotides de novo biosynthesis I	10910.7	1.091069979269671
PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	10801.7	1.080169979476771
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	10801.7	1.080169979476771
PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type	10777.5	1.077749979522751
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	10720.1	1.072009979631811
PWY-6936	seleno-amino acid biosynthesis (plants)	10559.2	1.055919979937521
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	10550	1.054999979955001
PWY-7234	inosine-5'-phosphate biosynthesis III	10473.2	1.047319980100921
PWY66-409	superpathway of purine nucleotide salvage	10438.7	1.043869980166471
PWY-5981	CDP-diacylglycerol biosynthesis III	10353.5	1.035349980328351
PWY0-1061	superpathway of L-alanine biosynthesis	10301.5	1.030149980427151
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	10281	1.0280999804661008
PWY-3841	folate transformations II (plants)	10211.9	1.021189980597391
PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type	10195.9	1.0195899806277908
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	10073.6	1.0073599808601608
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	10028.5	1.0028499809458509
PWY-5667	CDP-diacylglycerol biosynthesis I	10026.1	1.002609980950411
PWY0-1319	CDP-diacylglycerol biosynthesis II	10026.1	1.002609980950411
DTDPRHAMSYN-PWY	dTDP-β-L-rhamnose biosynthesis	9957.46	0.9957459810808268
PWY-7199	pyrimidine deoxyribonucleosides salvage	9951.55	0.9951549810920559
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	9718.53	0.9718529815347938
CALVIN-PWY	Calvin-Benson-Bassham cycle	9618.76	0.961875981724357
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	9585.9	0.9585899817867907
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	9365.18	0.9365179822061589
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	9172.76	0.9172759825717568
PWY-7851	coenzyme A biosynthesis II (eukaryotic)	9172.76	0.9172759825717568
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	9148.95	0.9148949826169959
PWY-7357	thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	9064.53	0.9064529827773938
PWY-7790	UMP biosynthesis II	9042.37	0.9042369828194979
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	8881.43	0.8881429831252837
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	8809.73	0.8809729832615137
PWY-7221	guanosine ribonucleotides de novo biosynthesis	8587.22	0.8587219836842827
THRESYN-PWY	superpathway of L-threonine biosynthesis	8479.83	0.8479829838883237
PWY-5686	UMP biosynthesis I	8401.59	0.8401589840369798
PWY-7791	UMP biosynthesis III	8401.59	0.8401589840369798
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	8339.82	0.8339819841543427
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	8188.1	0.8188099844426108
PWY-5659	GDP-mannose biosynthesis	7943.41	0.7943409849075217
PWY-6700	queuosine biosynthesis I (de novo)	7787.24	0.7787239852042447
PWY-5973	cis-vaccenate biosynthesis	7783.3	0.7783299852117307
