Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Streptococcus anginosus GCA_001835835.1	1715122	GCA_001835835.1	Bacteria	33.79	0.8383	0.467514	109150	129521
s__Lactobacillus gasseri GCA_002287905.1	1380360	GCA_002287905.1	Bacteria	27.860000000000003	0.981092	0.959249	81452	106790
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	11.52	0.629038	0.627082	46021	44157
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	11.27	0.947551	0.947551	55351	43199
s__Escherichia coli GCA_002944935.1	562	GCA_002944935.1	Bacteria	2.53	0.28341	0.233609	18563	9698
s__Staphylococcus epidermidis	1282		Bacteria	2.44	0.447785	0.44186	8936	9353
s__Enterococcus faecalis	1351		Bacteria	2.06	0.351852	0.411765	8615	7896
s__Bradyrhizobium sp003020075 GCA_000465325.1	1230476	GCA_000465325.1	Bacteria	1.05	0.091485	0.115408	12581	4025
Melampsora pinitorqua Mpini7	1298852	GCA_000464645.1	Fungi	0.77	0.011354	0.011529	2794	2951
s__Bifidobacterium dentium GCA_002075955.1	1689	GCA_002075955.1	Bacteria	0.71	0.089439	0.057342	2884	2722
s__Cutibacterium acnes	1747		Bacteria	0.59	0.063867	0.038328	2325	2262
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	Bacteria	0.44	0.059182	0.059221	1400	1687
s__Bradyrhizobium viridifuturi GCA_002289535.1	418599	GCA_002289535.1	Bacteria	0.43	0.02794	0.008449	5907	1648
Pseudoperonospora cubensis	143453	GCA_000252605.1	Protists	0.35	0.004233	0.004149	2380	1342
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.33	0.049436	0.013681	1323	1265
s__Blautia_A wexlerae GCA_000159975.2	457412	GCA_000159975.2	Bacteria	0.32	0.081128	0.01476	2009	1227
s__Bradyrhizobium elkanii	29448		Bacteria	0.28	0.049179	0.011873	3584	1073
s__Comamonas tsuruhatensis	80866		Bacteria	0.27	0.027729	0.026035	2837	1035
s__Winkia sp002849225 GCA_002849225.1	2066054	GCA_002849225.1	Bacteria	0.27	0.037863	0.015351	948	1035
s__Blautia_A wexlerae	40520		Bacteria	0.22999999999999998	0.138862	0.206704	1389	882
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	Bacteria	0.22	0.027438	0.022484	720	843
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	Bacteria	0.2	0.03878	0.020698	565	767
s__Ralstonia pickettii_B GCA_000372665.1	1264675	GCA_000372665.1	Bacteria	0.2	0.028272	0.027938	1496	767
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	Bacteria	0.2	0.029217	0.028637	731	767
s__Facklamia hominis GCA_000413455.1	883110	GCA_000413455.1	Bacteria	0.15	0.032882	0.017309	451	575
s__Longicatena caecimuris	1796635		Bacteria	0.14	0.0308	0.010712	673	537
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	Bacteria	0.14	0.035782	0.02172	413	537
g__Veillonella	29465		Bacteria	0.14	0.040029	0.038431	456	537
s__Agrobacterium oryzihabitans GCA_000219665.2	1050720	GCA_000219665.2	Bacteria	0.1	0.012254	0.012054	761	383
s__Methylobacterium thiocyanatum GCA_000019945.1	441620	GCA_000019945.1	Bacteria	0.1	0.010259	0.009903	880	383
s__Cutibacterium avidum GCA_000227295.1	997355	GCA_000227295.1	Bacteria	0.1	0.013868	0.01043	402	383
s__Lachnospira eligens_A GCA_009680455.1	39485	GCA_009680455.1	Bacteria	0.09	0.024528	0.013413	383	345
g__Bradyrhizobium	374		Bacteria	0.08	0.036613	0.036613	1144	307
s__Anaerobutyricum soehngenii GCA_900209925.1	39488	GCA_900209925.1	Bacteria	0.07	0.015221	0.014887	400	268
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	0.07	0.026374	0.023447	186	268
s__Bradyrhizobium japonicum_C	375		Bacteria	0.06	0.003778	0.00379	748	230
g__Corynebacterium	1716		Bacteria	0.06	0.020626	0.020626	264	230
s__Phascolarctobacterium faecium	33025		Bacteria	0.06	0.010658	0.010601	207	230
s__Ruminiclostridium_E siraeum	39492		Bacteria	0.05	0.007729	0.007729	238	192
s__Thomasclavelia ramosa	1547		Bacteria	0.04	0.011972	0.011976	202	153
s__Dysosmobacter welbionis	2093857		Bacteria	0.04	0.009301	0.009312	208	153
s__CAG-41 sp900066215	59620		Bacteria	0.04	0.008424	0.008424	202	153
g__Adlercreutzia	447020		Bacteria	0.04	0.008653	0.008584	171	153
Acanthamoeba palestinensis	28015	GCA_000826325.1	Protists	0.03	0.00253	0.001037	336	115
g__Phyllobacterium	28100		Bacteria	0.03	0.021893	0.021893	254	115
Malassezia sp.	2011732	GCA_004026415.1	Fungi	0.02	0.001298	0.001087	181	77
s__Staphylococcus aureus GCA_018995745.1	1280	GCA_018995745.1	Bacteria	0.02	0.057514	0.089855	65	77
s__Afipia sp001425835 GCA_001425835.1	1736436	GCA_001425835.1	Bacteria	0.02	0.016302	0.014358	125	77
