Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Bifidobacterium dentium	1689		73.55	0.428571	0.4	8238815	7576771
s__Lactobacillus gasseri GCA_015550315.1	1596	GCA_015550315.1	25.670000000000005	0.990846	0.527778	1967207	2644401
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	0.35	0.601937	0.600168	37677	36055
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	0.33	0.901269	0.901269	43761	33995
s__Winkia sp002849225 GCA_002849225.1	2066054	GCA_002849225.1	0.02	0.116155	0.100146	2381	2060
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	0.01	0.023121	0.022002	476	1030
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	0.01	0.018547	0.017294	688	1030
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	0.01	0.029733	0.029686	529	1030
s__Enterococcus faecalis	1351		0.01	0.04214	0.133333	582	1030
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	0.01	0.033037	0.023028	1171	1030
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	0.01	0.023641	0.014349	901	1030
s__Prevotella disiens GCA_000613345.1	1235811	GCA_000613345.1	0.01	0.032848	0.032859	688	1030
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	0.01	0.050382	0.015043	476	1030
s__Bradyrhizobium sp003020075 GCA_000465325.1	1230476	GCA_000465325.1	0.01	0.030934	0.041436	3688	1030
g__Bradyrhizobium	374		0.01	0.051543	0.028436	2484	1030
