Pfam ID	Name	Copies per Million (CPM)	Relative Abundance
PF00005	ABC transporter	27570.8	2.7570798087358637
PF00528	Binding-protein-dependent transport system inner membrane component	12532.9	1.2532899130567738
PF00072	Response regulator receiver domain	8925.1	0.8925099380848018
PF01381	Helix-turn-helix	8912.65	0.89126493817117
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	6557.65	0.6557649545082745
PF00486	Transcriptional regulatory protein, C terminal	5360.31	0.5360309628144609
PF07690	Major Facilitator Superfamily	4992.32	0.4992319653672808
PF00512	His Kinase A (phospho-acceptor) domain	4523.41	0.452340968620203
PF00271	Helicase conserved C-terminal domain	3906.13	0.39061297290239744
PF00583	Acetyltransferase (GNAT) family	3873.86	0.38738597312626083
PF00746	LPXTG cell wall anchor motif	3669.34	0.3669339745450569
PF00589	Phage integrase family	3525.36	0.35253597554387484
PF07992	Pyridine nucleotide-disulphide oxidoreductase	3487.79	0.3487789758045054
PF00356	Bacterial regulatory proteins, lacI family	3472.81	0.3472809759084246
PF01479	S4 domain	3468.93	0.34689297593534096
PF00440	Bacterial regulatory proteins, tetR family	3331.61	0.3331609768879572
PF00535	Glycosyl transferase family 2	3267.35	0.3267349773337416
PF01926	50S ribosome-binding GTPase	3163.61	0.3163609780534067
PF02378	Phosphotransferase system, EIIC	3054.68	0.3054679788090758
PF13302	Acetyltransferase (GNAT) domain	3041.48	0.3041479789006468
PF00497	Bacterial extracellular solute-binding proteins, family 3	3015.13	0.30151297908344205
PF02687	FtsX-like permease family	2967.75	0.29677497941212655
PF00293	NUDIX domain	2923.52	0.2923519797189589
PF00571	CBS domain	2912.09	0.2912089797982511
PF00696	Amino acid kinase family	2849.88	0.28498798022981425
PF02302	PTS system, Lactose/Cellobiose specific IIB subunit	2839.64	0.2839639803008511
PF00367	phosphotransferase system, EIIB	2813.9	0.2813899804794147
PF00392	Bacterial regulatory proteins, gntR family	2770.01	0.2770009807838884
PF00004	ATPase family associated with various cellular activities (AAA)	2757.59	0.2757589808700484
PF00664	ABC transporter transmembrane region	2731.03	0.2731029810543004
PF00294	pfkB family carbohydrate kinase	2666.79	0.26667898149994607
PF02653	Branched-chain amino acid transport system / permease component	2623.51	0.2623509818001881
PF05257	CHAP domain	2601.69	0.2601689819515578
PF00155	Aminotransferase class I and II	2493.26	0.24932598270375833
PF00156	Phosphoribosyl transferase domain	2478.57	0.2478569828056658
PF00905	Penicillin binding protein transpeptidase domain	2432.41	0.24324098312588685
PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	2403.84	0.24038398332408267
PF01966	HD domain	2372.86	0.2372859835389971
PF00270	DEAD/DEAH box helicase	2260.63	0.22606298431755897
PF04055	Radical SAM superfamily	2243.84	0.22438398443403457
PF01546	Peptidase family M20/M25/M40	2207.61	0.2207609846853693
PF00849	RNA pseudouridylate synthase	2204.17	0.22041698470923327
PF13359	DDE superfamily endonuclease	2147.36	0.21473598510333555
PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	2140.82	0.21408198514870483
PF02517	CPBP intramembrane metalloprotease	2134.44	0.21344398519296415
PF08245	Mur ligase middle domain	2104.44	0.21044398540108014
PF00132	Bacterial transferase hexapeptide (six repeats)	2070.49	0.20704898563659804
PF00575	S1 RNA binding domain	2035.31	0.20353098588064872
PF13411	MerR HTH family regulatory protein	2027.96	0.20279598593163717
PF00009	Elongation factor Tu GTP binding domain	1967.76	0.19677598634925655
PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	1950.62	0.19506198646816014
PF00128	Alpha amylase, catalytic domain	1947.94	0.19479398648675186
PF00239	Resolvase, N terminal domain	1918.37	0.19183698669188481
PF04650	YSIRK type signal peptide	1910.46	0.19104598674675807
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	1907.02	0.19070198677062206
PF01832	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	1893.05	0.18930498686753472
PF01047	MarR family	1887.42	0.18874198690659116
PF00465	Iron-containing alcohol dehydrogenase	1886.16	0.18861598691533205
PF03960	ArsC family	1872.56	0.18725598700967794
