GO ID	GO Category	GO Description	Copies per Million (CPM)	Relative Abundance
GO:0016021	Cellular_Components	integral component of membrane	104668	10.504599007338252
GO:0005524	Molecular_Functions	ATP binding	56141.6	5.634434551442477
GO:0005737	Cellular_Components	cytoplasm	47460	4.76313934429122
GO:0003677	Molecular_Functions	DNA binding	43111	4.326668779429809
GO:0046872	Molecular_Functions	metal ion binding	20440.9	2.0514718715280744
GO:0005886	Cellular_Components	plasma membrane	20136	2.0208717622555414
GO:0006412	Biological_Processes	translation	19368.6	1.9438546292422865
GO:0003735	Molecular_Functions	structural constituent of ribosome	17745.3	1.7809384029972817
GO:0005840	Cellular_Components	ribosome	14463.1	1.451533094193391
GO:0016887	Molecular_Functions	ATPase activity	11946.2	1.1989341600246899
GO:0016787	Molecular_Functions	hydrolase activity	11515.9	1.1557487647476457
GO:0019843	Molecular_Functions	rRNA binding	11438.8	1.1480109214386516
GO:0006355	Biological_Processes	regulation of transcription, DNA-templated	9775.74	0.9811043365689307
GO:0003700	Molecular_Functions	DNA-binding transcription factor activity	9560.16	0.9594684836434713
GO:0055085	Biological_Processes	transmembrane transport	8944	0.8976299682962636
GO:0000287	Molecular_Functions	magnesium ion binding	8181.35	0.8210895506619674
GO:0003723	Molecular_Functions	RNA binding	8147.74	0.8177164130015876
GO:0016740	Molecular_Functions	transferase activity	7942.63	0.7971313411324856
GO:0008270	Molecular_Functions	zinc ion binding	7900.39	0.7928920868993871
GO:0003676	Molecular_Functions	nucleic acid binding	7554.31	0.7581591061941131
GO:0005525	Molecular_Functions	GTP binding	6486.31	0.6509734167776988
GO:0005975	Biological_Processes	carbohydrate metabolic process	6027.69	0.6049457942307362
GO:0016491	Molecular_Functions	oxidoreductase activity	5973.49	0.5995062208539856
GO:0043565	Molecular_Functions	sequence-specific DNA binding	5567.44	0.5587545830379416
GO:0003824	Molecular_Functions	catalytic activity	5203.33	0.5222120911152724
GO:0006313	Biological_Processes	transposition, DNA-mediated	5170.91	0.5189583832024633
GO:0051301	Biological_Processes	cell division	5140.53	0.5159094119997755
GO:0000049	Molecular_Functions	tRNA binding	4938.8	0.49566356075822754
GO:0004803	Molecular_Functions	transposase activity	4884.95	0.4902591137778212
GO:0015074	Biological_Processes	DNA integration	4660.01	0.46768388065298205
GO:0006260	Biological_Processes	DNA replication	4635.64	0.4652380798560925
GO:0016301	Molecular_Functions	kinase activity	4614.46	0.46311243107159844
GO:0006281	Biological_Processes	DNA repair	4530.74	0.4547101970660346
GO:0022857	Molecular_Functions	transmembrane transporter activity	4420.02	0.4435982124853367
GO:0042626	Molecular_Functions	ATPase-coupled transmembrane transporter activity	4358.44	0.43741797395138265
GO:0051539	Molecular_Functions	4 iron, 4 sulfur cluster binding	3891.07	0.390512191495812
GO:0000160	Biological_Processes	phosphorelay signal transduction system	3814.03	0.3827803698547628
GO:0003924	Molecular_Functions	GTPase activity	3766.73	0.37803328829165755
GO:0008168	Molecular_Functions	methyltransferase activity	3742.51	0.3756025416646299
GO:0006310	Biological_Processes	DNA recombination	3681.2	0.3694494006364273
GO:0007049	Biological_Processes	cell cycle	3451.28	0.3463743690721745
GO:0030170	Molecular_Functions	pyridoxal phosphate binding	3284.01	0.3295869624535569
GO:0005623	Cellular_Components	cell	3215.53	0.32271423210595757
GO:0008360	Biological_Processes	regulation of cell shape	3169.63	0.31810765612822967
GO:0043190	Cellular_Components	ATP-binding cassette (ABC) transporter complex	3115.72	0.3126971874798786
GO:0071555	Biological_Processes	cell wall organization	3002.5	0.30133430006814976
GO:0000155	Molecular_Functions	phosphorelay sensor kinase activity	2978.62	0.2989376762261423
GO:0009252	Biological_Processes	peptidoglycan biosynthetic process	2913.57	0.2924091845627174
GO:0009401	Biological_Processes	phosphoenolpyruvate-dependent sugar phosphotransferase system	2864.55	0.28748948185186296
GO:0005887	Cellular_Components	integral component of plasma membrane	2851.36	0.2861657185153437
GO:0045454	Biological_Processes	cell redox homeostasis	2812.62	0.28227772824568836
GO:0000166	Molecular_Functions	nucleotide binding	2795.55	0.28056456371540917
GO:0009055	Molecular_Functions	electron transfer activity	2710.17	0.2719957302300408
GO:0050660	Molecular_Functions	flavin adenine dinucleotide binding	2680.71	0.2690390912691723
GO:0003887	Molecular_Functions	DNA-directed DNA polymerase activity	2472.22	0.24811479877251663
GO:0003746	Molecular_Functions	translation elongation factor activity	2391.44	0.24000762649624513
GO:0006457	Biological_Processes	protein folding	2386.35	0.23949678833226615
GO:0032196	Biological_Processes	transposition	2332.92	0.23413449302747308
GO:0009058	Biological_Processes	biosynthetic process	2314.13	0.2322487073494446
GO:0015935	Cellular_Components	small ribosomal subunit	2309.08	0.23174188363076212
GO:0051287	Molecular_Functions	NAD binding	2265.56	0.22737416714817565
GO:0016829	Molecular_Functions	lyase activity	2245.85	0.22539604922832776
GO:0006352	Biological_Processes	DNA-templated transcription, initiation	2231.43	0.22394884169894136
GO:0004252	Molecular_Functions	serine-type endopeptidase activity	2175.39	0.21832460383855198
GO:0015934	Cellular_Components	large ribosomal subunit	2111.14	0.211876401081057
