Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Streptococcus anginosus GCA_001835835.1	1715122	GCA_001835835.1	34.14	0.8383	0.467514	108597	128743
s__Lactobacillus gasseri GCA_002287905.1	1380360	GCA_002287905.1	28.15	0.981092	0.959249	81040	106154
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	11.64	0.629038	0.627082	45789	43895
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	11.39	0.947551	0.947551	55071	42952
s__Escherichia coli GCA_002944935.1	562	GCA_002944935.1	2.56	0.28341	0.233609	18471	9654
s__Staphylococcus epidermidis	1282		2.47	0.447785	0.44186	8891	9314
s__Enterococcus faecalis	1351		2.08	0.351852	0.411765	8572	7844
s__Bradyrhizobium sp003020075 GCA_000465325.1	1230476	GCA_000465325.1	1.08	0.091485	0.115408	12657	4073
s__Bifidobacterium dentium GCA_002075955.1	1689	GCA_002075955.1	0.71	0.089439	0.057342	2869	2677
s__Cutibacterium acnes	1747		0.6	0.063867	0.038328	2313	2263
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	0.44	0.059182	0.059221	1393	1659
s__Bradyrhizobium viridifuturi GCA_002289535.1	418599	GCA_002289535.1	0.43	0.02794	0.008449	5865	1622
s__Comamonas tsuruhatensis	80866		0.38	0.027729	0.026035	3992	1433
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	0.33	0.049436	0.013681	1316	1244
s__Blautia_A wexlerae GCA_000159975.2	457412	GCA_000159975.2	0.33	0.081128	0.01476	1999	1244
s__Bradyrhizobium elkanii	29448		0.28	0.049179	0.011873	3566	1056
s__Winkia sp002849225 GCA_002849225.1	2066054	GCA_002849225.1	0.27	0.037863	0.015351	943	1018
s__Blautia_A wexlerae	40520		0.22999999999999998	0.138862	0.206704	1382	867
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	0.22999999999999998	0.027438	0.022484	716	867
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	0.21	0.029217	0.028637	727	792
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	0.2	0.03878	0.020698	562	754
s__Ralstonia pickettii_B GCA_000372665.1	1264675	GCA_000372665.1	0.2	0.028272	0.027938	1489	754
s__Facklamia hominis GCA_000413455.1	883110	GCA_000413455.1	0.16	0.032882	0.017309	449	603
s__Longicatena caecimuris	1796635		0.14	0.0308	0.010712	670	528
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	0.14	0.035782	0.02172	411	528
g__Veillonella	29465		0.14	0.040029	0.038431	453	528
s__Agrobacterium oryzihabitans GCA_000219665.2	1050720	GCA_000219665.2	0.1	0.012254	0.012054	757	377
s__Methylobacterium thiocyanatum GCA_000019945.1	441620	GCA_000019945.1	0.1	0.010259	0.009903	876	377
s__Cutibacterium avidum GCA_000227295.1	997355	GCA_000227295.1	0.1	0.013868	0.01043	400	377
s__Lachnospira eligens_A GCA_009680455.1	39485	GCA_009680455.1	0.09	0.024528	0.013413	381	339
g__Bradyrhizobium	374		0.08	0.036613	0.036613	1147	302
s__Anaerobutyricum soehngenii GCA_900209925.1	39488	GCA_900209925.1	0.07	0.015221	0.014887	398	264
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	0.07	0.026374	0.023447	185	264
s__Bradyrhizobium japonicum_C	375		0.07	0.003778	0.00379	790	264
g__Corynebacterium	1716		0.06	0.020626	0.020626	262	226
s__Phascolarctobacterium faecium	33025		0.06	0.010658	0.010601	206	226
s__Ruminiclostridium_E siraeum	39492		0.05	0.007729	0.007729	237	189
s__Thomasclavelia ramosa	1547		0.04	0.011972	0.011976	201	151
s__Dysosmobacter welbionis	2093857		0.04	0.009301	0.009312	207	151
s__CAG-41 sp900066215	59620		0.04	0.008424	0.008424	201	151
g__Adlercreutzia	447020		0.04	0.008653	0.008584	170	151
g__Phyllobacterium	28100		0.03	0.021893	0.021893	258	113
s__Staphylococcus aureus GCA_018995745.1	1280	GCA_018995745.1	0.02	0.057514	0.089855	62	75
s__Afipia sp001425835 GCA_001425835.1	1736436	GCA_001425835.1	0.02	0.016302	0.014358	161	75
