Pfam ID	Name	Copies per Million (CPM)	Relative Abundance
PF00005	ABC transporter	22258.1	2.225809888064027
PF07690	Major Facilitator Superfamily	7511.73	0.7511729622235138
PF00528	Binding-protein-dependent transport system inner membrane component	7279.13	0.7279129633932592
PF01381	Helix-turn-helix	6597.69	0.6597689668202205
PF02378	Phosphotransferase system, EIIC	6173.54	0.6173539689532707
PF00072	Response regulator receiver domain	5692.32	0.5692319713733258
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	4727.19	0.472718976226964
PF01610	Transposase	4269.89	0.42698897852672557
PF00664	ABC transporter transmembrane region	4249.37	0.4249369786299206
PF00486	Transcriptional regulatory protein, C terminal	3799.28	0.37992798089342295
PF00665	Integrase core domain	3704.77	0.3704769813687137
PF00746	LPXTG cell wall anchor motif	3691.52	0.3691519814353479
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	3638.46	0.3638459817021866
PF00271	Helicase conserved C-terminal domain	3535.78	0.3535779822185643
PF00440	Bacterial regulatory proteins, tetR family	3490.97	0.34909698244391374
PF07715	TonB-dependent Receptor Plug Domain	3405.46	0.3405459828739435
PF12833	Helix-turn-helix domain	3393.66	0.3393659829332857
PF00583	Acetyltransferase (GNAT) family	3294.27	0.32942698343311794
PF00589	Phage integrase family	3198.84	0.3198839839130354
PF00367	phosphotransferase system, EIIB	3051.68	0.3051679846531029
PF00512	His Kinase A (phospho-acceptor) domain	2882.96	0.28829598550159574
PF00535	Glycosyl transferase family 2	2836.76	0.28367598573393554
PF02302	PTS system, Lactose/Cellobiose specific IIB subunit	2779.4	0.2779399860223989
PF01380	SIS domain	2719.81	0.27198098632207696
PF00270	DEAD/DEAH box helicase	2714.77	0.2714769863474231
PF00593	TonB dependent receptor	2697.37	0.2697369864349277
PF00392	Bacterial regulatory proteins, gntR family	2687.17	0.26871698648622355
PF00358	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	2651.13	0.2651129866674687
PF00571	CBS domain	2609.77	0.26097698687546805
PF00293	NUDIX domain	2577.23	0.25772298703911173
PF00156	Phosphoribosyl transferase domain	2562.26	0.25622598711439587
PF07992	Pyridine nucleotide-disulphide oxidoreductase	2532.23	0.2532229872654167
PF00300	Histidine phosphatase superfamily (branch 1)	2514.46	0.251445987354782
PF04221	RelB antitoxin	2469.05	0.2469049875831489
PF00009	Elongation factor Tu GTP binding domain	2458.43	0.24584298763655685
PF01926	50S ribosome-binding GTPase	2422.18	0.2422179878188581
PF00232	Glycosyl hydrolase family 1	2386.49	0.23864898799834305
PF04650	YSIRK type signal peptide	2330.41	0.23304098828036937
