ID	Name	Copies per Million (CPM)	Relative Abundance
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	17112.1	1.711210135185601
PWY-7238	sucrose biosynthesis II	10717	1.071700084664307
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	10220.7	1.0220700807435368
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	9654.29	0.9654290762688974
PWY-5941	glycogen degradation II	9567.83	0.9567830755858632
PWY-5695	inosine 5'-phosphate degradation	9500.62	0.9500620750549043
PWY-6608	guanosine nucleotides degradation III	9500.62	0.9500620750549043
PWY0-1477	ethanolamine utilization	8957.12	0.8957120707612539
PWY-7111	pyruvate fermentation to isobutanol (engineered)	8800.89	0.8800890695270366
PWY-5136	fatty acid β-oxidation II (plant peroxisome)	8670.84	0.8670840684996416
VALSYN-PWY	L-valine biosynthesis	8104.43	0.8104430640250022
PWY-8178	pentose phosphate pathway (non-oxidative branch) II	7502.73	0.7502730592715718
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	7244.17	0.7244170572289478
PWY-7977	L-methionine biosynthesis IV	7034.74	0.7034740555744505
PENTOSE-P-PWY	pentose phosphate pathway	6921.82	0.6921820546823825
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	6860.2	0.6860200541955844
METSYN-PWY	superpathway of L-homoserine and L-methionine biosynthesis	6819.4	0.6819400538732644
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	6631.43	0.6631430523883013
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type	6498.14	0.6498140513353102
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	6461.52	0.6461520510460123
PWY-5103	L-isoleucine biosynthesis III	6451.06	0.6451060509633783
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	6377.61	0.637761050383123
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	6372.65	0.6372650503439391
CALVIN-PWY	Calvin-Benson-Bassham cycle	6370.03	0.6370030503232411
FAO-PWY	fatty acid β-oxidation I (generic)	6141.92	0.614192048521172
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	6074.55	0.607455047988949
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	6071.98	0.607198047968646
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	6001.96	0.6001960474154879
PWY0-1296	purine ribonucleosides degradation	5995.66	0.5995660473657178
GALACTARDEG-PWY	D-galactarate degradation I	5955.43	0.595543047047901
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	5955.43	0.595543047047901
PWY-6353	purine nucleotides degradation II (aerobic)	5913.02	0.5913020467128618
THRESYN-PWY	superpathway of L-threonine biosynthesis	5910.74	0.5910740466948499
PWY-1042	glycolysis IV	5882.45	0.5882450464713588
PWY-5913	partial TCA cycle (obligate autotrophs)	5831.98	0.5831980460726458
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	5758.92	0.5758920454954718
PWY-4041	γ-glutamyl cycle	5744.92	0.5744920453848718
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	5714.26	0.5714260451426577
PWY-5667	CDP-diacylglycerol biosynthesis I	5652.61	0.5652610446556227
PWY0-1319	CDP-diacylglycerol biosynthesis II	5652.61	0.5652610446556227
P161-PWY	acetylene degradation (anaerobic)	5623.27	0.5623270444238367
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	5613.5	0.5613500443466537
PWY-3001	superpathway of L-isoleucine biosynthesis I	5608.75	0.5608750443091287
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	5581.76	0.5581760440959076
FERMENTATION-PWY	mixed acid fermentation	5569.76	0.5569760440011076
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	5524.34	0.5524340436422897
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	5516.95	0.5516950435839085
PWY-5484	glycolysis II (from fructose 6-phosphate)	5472.94	0.5472940432362295
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	5468.66	0.5468660432024175
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	5468.66	0.5468660432024175
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	5448.07	0.5448070430397565
ORNDEG-PWY	superpathway of ornithine degradation	5352.18	0.5352180422822256
PWY-6936	seleno-amino acid biosynthesis (plants)	5293.07	0.5293070418152565
PWY-6606	guanosine nucleotides degradation II	5288.99	0.5288990417830244
PWY-6305	superpathway of putrescine biosynthesis	5284.51	0.5284510417476325
GLYOXYLATE-BYPASS	glyoxylate cycle	5207.62	0.5207620411402014
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)	5183.94	0.5183940409531294
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	5180.62	0.5180620409269013
TRNA-CHARGING-PWY	tRNA charging	5075.4	0.5075400400956632
GLUCONEO-PWY	gluconeogenesis I	5074.82	0.5074820400910813
PWY-5675	nitrate reduction V (assimilatory)	5069.29	0.5069290400473943
PWY-621	sucrose degradation III (sucrose invertase)	5004.23	0.5004230395334203
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	4975.31	0.4975310393049523
KETOGLUCONMET-PWY	ketogluconate metabolism	4963.09	0.4963090392084143
SO4ASSIM-PWY	assimilatory sulfate reduction I	4945.82	0.49458203907198117
FUCCAT-PWY	fucose degradation	4944.31	0.49443103906005226
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	4917.71	0.49177103884991225
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	4892.48	0.4892480386505952
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	4881.96	0.48819603856748717
GLUCARDEG-PWY	D-glucarate degradation I	4870.99	0.48709903848082414
PWY-7953	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	4841.66	0.4841660382491171
GLUTORN-PWY	L-ornithine biosynthesis I	4822.1	0.48221003809459323
PWY-6901	superpathway of glucose and xylose degradation	4803.59	0.48035903794836415
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	4722.61	0.472261037308622
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	4708.31	0.4708310371956521
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	4696.78	0.469678037104565
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	4696.78	0.469678037104565
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	4670.33	0.46703303689561004
PWY-8004	Entner-Doudoroff pathway I	4593.11	0.45931103628557196
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)	4583.09	0.45830903620641394
PWY-6609	adenine and adenosine salvage III	4508.04	0.45080403561351895
PWY-7663	gondoate biosynthesis (anaerobic)	4473.79	0.44737903534294393
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	4454.98	0.44549803519434483
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	4423.73	0.4423730349474698
GALACTITOLCAT-PWY	galactitol degradation	4384.22	0.4384220346353409
PWY-6803	phosphatidylcholine acyl editing	4363	0.4363000344677029
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	4354.52	0.4354520344007109
PWY-5723	Rubisco shunt	4354.23	0.4354230343984198
PWY66-429	fatty acid biosynthesis initiation (mitochondria)	4342.24	0.4342240343036988
GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway	4293.96	0.4293960339222868
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	4257.35	0.42573503363306775
PWY-6151	S-adenosyl-L-methionine salvage I	4253.31	0.42533103360115176
PWY-7345	superpathway of anaerobic sucrose degradation	4239.2	0.42392003348968277
HEMESYN2-PWY	heme b biosynthesis II (oxygen-independent)	4123.45	0.4123450325752577
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	4115.31	0.4115310325109517
PWY-7282	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	4108.14	0.41081403245430875
PWY4LZ-257	superpathway of fermentation (Chlamydomonas reinhardtii)	4065.69	0.4065690321189536
P441-PWY	superpathway of N-acetylneuraminate degradation	4044.92	0.40449203195487066
PWY1ZNC-1	assimilatory sulfate reduction IV	4026.56	0.40265603180982656
PWY-6531	mannitol cycle	3985.24	0.39852403148339854
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	3956.35	0.3956350312551675
PWY-7118	chitin deacetylation	3925.71	0.3925710310131116
CITRULBIO-PWY	L-citrulline biosynthesis	3916.09	0.3916090309371136
PWY-6700	queuosine biosynthesis I (de novo)	3902.61	0.3902610308306216
NAGLIPASYN-PWY	lipid IVA biosynthesis (E. coli)	3867.23	0.3867230305511195
PWY-8073	lipid IVA biosynthesis (P. putida)	3867.23	0.3867230305511195
PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	3846.61	0.3846610303882215
PWY-702	L-methionine biosynthesis II	3829.73	0.3829730302548695
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	3826.73	0.3826730302311695
PWY-5686	UMP biosynthesis I	3796.13	0.3796130299894295
PANTO-PWY	phosphopantothenate biosynthesis I	3769.94	0.3769940297825285
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	3711.57	0.37115702932140543
ARO-PWY	chorismate biosynthesis I	3711.42	0.37114202932022045
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis	3704.65	0.3704650292667374
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	3679.49	0.3679490290679734
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	3670.84	0.3670840289996384
PWY-6527	stachyose degradation	3656	0.3656000288824024
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	3654.5	0.3654500288705524
PYRIDNUCSYN-PWY	NAD de novo biosynthesis I (from aspartate)	3642.05	0.3642050287721974
TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	3637.81	0.36378102873870133
PWY-5097	L-lysine biosynthesis VI	3584.12	0.3584120283145503
RHAMCAT-PWY	L-rhamnose degradation I	3536.64	0.3536640279394583
PWY-5918	superpathway of heme b biosynthesis from glutamate	3534.39	0.3534390279216833
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	3513.5	0.3513500277566523
DAPLYSINESYN-PWY	L-lysine biosynthesis I	3512.73	0.3512730277505693
HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	3509.84	0.3509840277277383
HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	3509.84	0.3509840277277383
PWY-7221	guanosine ribonucleotides de novo biosynthesis	3505.28	0.35052802769171426
PWY66-409	superpathway of purine nucleotide salvage	3481.06	0.3481060275003763
ANAEROFRUCAT-PWY	homolactic fermentation	3466.46	0.34664602738503625
PWY-6317	D-galactose degradation I (Leloir pathway)	3466.12	0.34661202738235025
PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	3457.38	0.3457380273133043
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	3457.38	0.3457380273133043
PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	3447.88	0.34478802723825425
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	3421.48	0.3421480270296942
ARGININE-SYN4-PWY	L-ornithine biosynthesis II	3419.47	0.3419470270138152
LIPASYN-PWY	phospholipases	3396.54	0.3396540268326682
PWY-7790	UMP biosynthesis II	3364.61	0.3364610265804212
PWY-7791	UMP biosynthesis III	3364.61	0.3364610265804212
PWY0-1415	superpathway of heme b biosynthesis from uroporphyrinogen-III	3351.88	0.3351880264798542
PWY-2942	L-lysine biosynthesis III	3299.58	0.3299580260666841
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	3292.39	0.32923902600988314
PWY-5659	GDP-mannose biosynthesis	3285.41	0.3285410259547411
PWY-7560	methylerythritol phosphate pathway II	3272.18	0.32721802585022414
PWY0-42	2-methylcitrate cycle I	3259.01	0.3259010257461811
PWY-841	superpathway of purine nucleotides de novo biosynthesis I	3245.07	0.32450702563605516
PWY-8187	L-arginine degradation XIII (reductive Stickland reaction)	3239.17	0.32391702558944513
TCA	TCA cycle I (prokaryotic)	3238.49	0.3238490255840731
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	3215.14	0.32151402539960805
PWY-6969	TCA cycle V (2-oxoglutarate synthase)	3151.9	0.315190024900012
PWY0-1261	anhydromuropeptides recycling I	3146.68	0.31466802485877404
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	3144.99	0.314499024845423
NONMEVIPP-PWY	methylerythritol phosphate pathway I	3144.35	0.314435024840367
