Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Streptococcus anginosus GCA_000508545.1	1403946	GCA_000508545.1	12.689999999999998	0.87664	0.111588	125138	161923
s__Gemmiger formicilis GCA_900167555.1	745368	GCA_900167555.1	10.99	0.505488	0.503169	174714	140232
s__Streptococcus thermophilus GCA_000521305.1	1423145	GCA_000521305.1	3.7900000000000005	0.870057	0.119658	32359	48360
s__Ruminococcus_E bromii GCA_002834225.1	40518	GCA_002834225.1	3.39	0.545011	0.516213	36091	43256
s__Blautia_A wexlerae GCA_015667495.1	418240	GCA_015667495.1	3.29	0.526723	0.296552	66872	41980
s__Gemmiger qucibialis GCA_003324125.1	2086273	GCA_003324125.1	2.64	0.518931	0.520737	44899	33686
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	2.55	0.487985	0.123661	22480	32538
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	2.45	0.52695	0.513058	27703	31262
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	2.23	0.35211	0.154002	19982	28455
s__Methanosphaera stadtmanae GCA_000012545.1	339860	GCA_000012545.1	2.07	0.844907	0.844907	18328	26413
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	1.86	0.50883	0.506275	23338	23733
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	1.77	0.769578	0.769578	27200	22585
s__Anaerostipes hadrus GCA_000332875.2	649757	GCA_000332875.2	1.7500000000000002	0.525385	0.503214	23922	22330
s__CAG-41 sp900066215 GCA_003460745.1	2292896	GCA_003460745.1	1.5	0.37276	0.211202	23670	19140
s__Methanobrevibacter_A smithii GCA_000016525.1	420247	GCA_000016525.1	1.43	0.743527	0.404971	13242	18247
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	1.36	0.480446	0.481024	13591	17353
s__Streptococcus vestibularis GCA_000188295.1	889206	GCA_000188295.1	1.33	0.350353	0.112271	11733	16971
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	1.23	0.342928	0.342418	16406	15695
s__Ruminococcus_E bromii_B GCA_009718325.1	40518	GCA_009718325.1	1.11	0.18075	0.031769	12394	14164
s__Blautia_A faecis GCA_015551945.1	2787115	GCA_015551945.1	1.09	0.397709	0.10963	23541	13908
s__Collinsella aerofaciens_I GCA_005845035.1	74426	GCA_005845035.1	1.08	0.069929	0.060725	12220	13781
s__Faecalibacterium prausnitzii_J GCA_003287405.1	853	GCA_003287405.1	0.98	0.213545	0.180331	14673	12505
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	0.96	0.200516	0.066135	8942	12250
s__Latilactobacillus curvatus GCA_902362325.1	28038	GCA_902362325.1	0.89	0.356548	0.193638	7831	11356
s__Mediterraneibacter faecis GCA_001312505.1	1298596	GCA_001312505.1	0.88	0.273939	0.274583	14047	11229
s__Winkia sp002849225 GCA_000296485.1	888439	GCA_000296485.1	0.86	0.333419	0.219603	9154	10974
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	0.78	0.364809	0.331704	6927	9953
s__Odoribacter massiliensis GCA_003482005.1	2293112	GCA_003482005.1	0.75	0.312473	0.312548	15116	9570
s__Collinsella aerofaciens_X GCA_015546965.1	74426	GCA_015546965.1	0.72	0.060985	0.049269	8143	9187
s__Fimenecus sp000432435 GCA_000432435.1	1262882	GCA_000432435.1	0.61	0.230331	0.230274	5740	7784
s__Corynebacterium simulans GCA_001586215.1	146827	GCA_001586215.1	0.61	0.166671	0.161176	8196	7784
s__Anaerococcus vaginalis_B GCA_000307225.1	33037	GCA_000307225.1	0.56	0.423566	0.414515	5382	7146
s__Blautia_A obeum GCA_001405215.1	40520	GCA_001405215.1	0.54	0.282667	0.041923	10404	6890
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	0.54	0.230362	0.199662	5443	6890
s__Anaerococcus sp900258475 GCA_900258475.1	2057799	GCA_900258475.1	0.53	0.205857	0.206103	5910	6763
s__Bacteroides uniformis GCA_015552985.1	820	GCA_015552985.1	0.53	0.258571	0.13375	12440	6763
s__Akkermansia sp004167605 GCA_008421785.1	2584597	GCA_008421785.1	0.53	0.22552	0.027397	8482	6763
s__Streptococcus oralis_S GCA_000257475.1	1095740	GCA_000257475.1	0.4699999999999999	0.108307	0.058742	4390	5997
s__Varibaculum cambriense_A GCA_000508625.1	1403948	GCA_000508625.1	0.4699999999999999	0.198716	0.179361	5262	5997
s__Staphylococcus epidermidis	1282		0.45000000000000007	0.304152	0.313253	5247	5742
s__Collinsella sp003438495 GCA_902399765.1	2011094	GCA_902399765.1	0.45000000000000007	0.042862	0.028888	5091	5742
s__Collinsella sp900551305 GCA_009876295.1	74426	GCA_009876295.1	0.45000000000000007	0.018866	0.010774	4958	5742
s__Collinsella sp900551605 GCA_015560135.1	74426	GCA_015560135.1	0.43	0.027288	0.010856	4856	5487
s__Pauljensenia turicensis GCA_000296505.1	883077	GCA_000296505.1	0.42	0.12897	0.128931	4033	5359
s__Collinsella aerofaciens_P GCA_015558785.1	74426	GCA_015558785.1	0.4099999999999999	0.017163	0.013575	4403	5232
s__Blautia_A obeum	40520		0.38	0.368025	0.108911	6833	4849
s__Faecalibacterium longum GCA_003293635.1	853	GCA_003293635.1	0.38	0.108097	0.100122	5238	4849
s__Evtepia gabavorous GCA_003425665.1	2211183	GCA_003425665.1	0.38	0.184382	0.184364	4636	4849
s__Collinsella sp902363125 GCA_902363125.1	2011094	GCA_902363125.1	0.38	0.018296	0.011806	4303	4849
s__Alistipes putredinis GCA_000154465.1	445970	GCA_000154465.1	0.37	0.147506	0.147937	4656	4721
s__Collinsella aerofaciens_M GCA_015549965.1	74426	GCA_015549965.1	0.37	0.034109	0.035805	4196	4721
s__Lachnospira sp900316325 GCA_014287955.1	2763051	GCA_014287955.1	0.35	0.210876	0.211037	4984	4466
s__Fenollaria timonensis GCA_001457835.1	1723384	GCA_001457835.1	0.35	0.1248	0.113227	2962	4466
s__Romboutsia timonensis GCA_900106845.1	1776391	GCA_900106845.1	0.35	0.407315	0.40714	5439	4466
