Pfam ID	Name	Copies per Million (CPM)	Relative Abundance
PF00005	ABC transporter	15394.5	1.5394499463732618
PF07690	Major Facilitator Superfamily	8876.39	0.887638969079097
PF03466	LysR substrate binding domain	7199.59	0.7199589749202295
PF00528	Binding-protein-dependent transport system inner membrane component	6395.19	0.6395189777223567
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	5982.78	0.5982779791589868
PF00072	Response regulator receiver domain	5128.02	0.5128019821365433
PF00577	Outer membrane usher protein	4540.81	0.45408098418208925
PF00873	AcrB/AcrD/AcrF family	3651.27	0.3651269872808016
PF00419	Fimbrial protein	3586.33	0.35863298750702005
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	3565.33	0.3565329875801736
PF00563	EAL domain	3537.61	0.3537609876767362
PF00294	pfkB family carbohydrate kinase	3396.1	0.33960998816968624
PF12833	Helix-turn-helix domain	3338.44	0.33384398837054485
PF00384	Molybdopterin oxidoreductase	3330.11	0.3330109883995624
PF00171	Aldehyde dehydrogenase family	3319.62	0.3319619884361043
PF00392	Bacterial regulatory proteins, gntR family	3178.24	0.3178239889286015
PF07992	Pyridine nucleotide-disulphide oxidoreductase	3140.96	0.31409598905846636
PF00324	Amino acid permease	3098.7	0.3098699892056791
PF00501	AMP-binding enzyme	2992.17	0.29921698957677634
PF00860	Permease family	2984.63	0.2984629896030419
PF00196	Bacterial regulatory proteins, luxR family	2980.08	0.29800798961889186
PF00589	Phage integrase family	2916.97	0.2916969898387355
PF00155	Aminotransferase class I and II	2902.34	0.2902339898896991
PF03400	IS1 transposase	2774.73	0.2774729903342285
PF02653	Branched-chain amino acid transport system / permease component	2701.67	0.270166990588733
PF00497	Bacterial extracellular solute-binding proteins, family 3	2595.76	0.25957599095767053
PF00083	Sugar (and other) transporter	2540.63	0.25406299114971587
PF00990	Diguanylate cyclase, GGDEF domain	2519.15	0.2519149912245414
PF00884	Sulfatase	2487.51	0.2487509913347594
PF00512	His Kinase A (phospho-acceptor) domain	2467.86	0.24678599140321014
PF02378	Phosphotransferase system, EIIC	2449.01	0.24490099146887412
PF00106	short chain dehydrogenase	2424.8	0.24247999155320965
PF00158	Sigma-54 interaction domain	2412.67	0.24126699159546447
PF00455	DeoR C terminal sensor domain	2386.16	0.23861599168781203
PF00345	Pili and flagellar-assembly chaperone, PapD N-terminal domain	2381.63	0.2381629917035923
PF13520	Amino acid permease	2328.37	0.23283699188912352
PF00486	Transcriptional regulatory protein, C terminal	2315	0.2314999919356979
PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	2194.11	0.2194109923568182
PF00696	Amino acid kinase family	2194.01	0.21940099235716656
PF00132	Bacterial transferase hexapeptide (six repeats)	2175.15	0.21751499242286537
PF02447	GntP family permease	2161.61	0.21616099247003195
PF00593	TonB dependent receptor	2121.93	0.2121929926082572
PF00892	EamA-like transporter family	2098.37	0.20983699269032846
PF00248	Aldo/keto reductase family	2087.24	0.2087239927290998
PF00356	Bacterial regulatory proteins, lacI family	2079.08	0.20790799275752517
PF00293	NUDIX domain	2050.46	0.20504599285722297
PF04055	Radical SAM superfamily	2047.28	0.20472799286830046
PF00271	Helicase conserved C-terminal domain	2032.2	0.20321999292083168
PF01548	Transposase	2013.97	0.20139699298433586
PF07729	FCD domain	1983.75	0.19837499308960724
PF13954	PapC N-terminal domain	1928.19	0.19281899328315047
PF08240	Alcohol dehydrogenase GroES-like domain	1908.7	0.19086999335104388
PF01276	Orn/Lys/Arg decarboxylase, major domain	1898.55	0.18985499338640138
PF00440	Bacterial regulatory proteins, tetR family	1898.2	0.18981999338762062
PF00532	Periplasmic binding proteins and sugar binding domain of LacI family	1884.04	0.188403993436947
PF00107	Zinc-binding dehydrogenase	1876.84	0.18768399346202816
PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	1869.88	0.18698799348627335
PF00267	Gram-negative porin	1834.83	0.18348299360837
PF07715	TonB-dependent Receptor Plug Domain	1829.28	0.18292799362770343
PF13407	Periplasmic binding protein domain	1759.36	0.17593599387126974
PF00270	DEAD/DEAH box helicase	1744.57	0.1744569939227907
PF02901	Pyruvate formate lyase-like	1729.71	0.1729709939745555
PF01381	Helix-turn-helix	1704.54	0.17045399406223521
PF00672	HAMP domain	1698.22	0.16982199408425094
PF01979	Amidohydrolase family	1675.53	0.16755299416329153
PF01380	SIS domain	1656.36	0.16563599423007022
PF02896	PEP-utilising enzyme, TIM barrel domain	1639.98	0.16399799428712997
PF00128	Alpha amylase, catalytic domain	1634.26	0.16342599430705557
PF00291	Pyridoxal-phosphate dependent enzyme	1628.05	0.1628049943286881
PF00152	tRNA synthetases class II (D, K and N)	1615.34	0.1615339943729634
PF01609	Transposase DDE domain	1593.77	0.15937699444810247
PF02302	PTS system, Lactose/Cellobiose specific IIB subunit	1585.57	0.15855699447666718
PF00465	Iron-containing alcohol dehydrogenase	1583.37	0.15833699448433086
PF00202	Aminotransferase class-III	1569.85	0.15698499453142778
PF00596	Class II Aldolase and Adducin N-terminal domain	1564.53	0.15645299454996
PF13953	PapC C-terminal domain	1545.7	0.15456999461555432
PF08220	DeoR-like helix-turn-helix domain	1529.42	0.1529419946722657
PF03222	Tryptophan/tyrosine permease family	1523.85	0.15238499469166877
PF00378	Enoyl-CoA hydratase/isomerase	1511.44	0.15114399473489903
PF00665	Integrase core domain	1507.1	0.1507099947500174
PF07338	Protein of unknown function (DUF1471)	1505.56	0.150555994755382
PF03811	InsA N-terminal domain	1439.01	0.14390099498720893
PF01261	Xylose isomerase-like TIM barrel	1430.13	0.1430129950181424
PF07702	UTRA domain	1422.3	0.1422299950454182
PF01568	Molydopterin dinucleotide binding domain	1420.64	0.14206399505120082
PF01464	Transglycosylase SLT domain	1410.96	0.14109599508492107
PF13533	Biotin-lipoyl like	1407.39	0.14073899509735718
PF13247	4Fe-4S dicluster domain	1399.88	0.13998799512351828
PF00924	Mechanosensitive ion channel	1398.98	0.1398979951266534
PF00232	Glycosyl hydrolase family 1	1393.63	0.13936299514529016
PF00370	FGGY family of carbohydrate kinases, N-terminal domain	1392.41	0.13924099514954
PF00343	Carbohydrate phosphorylase	1382.54	0.13825399518392215
PF00583	Acetyltransferase (GNAT) family	1375.67	0.1375669952078538
PF00535	Glycosyl transferase family 2	1366.28	0.13662799524056385
PF03797	Autotransporter beta-domain	1365.18	0.1365179952443957
PF01546	Peptidase family M20/M25/M40	1352.41	0.13524099528888
PF02753	Pili assembly chaperone PapD, C-terminal domain	1336.75	0.1336749953434316
PF00664	ABC transporter transmembrane region	1329.19	0.13291899536976687
PF01810	LysE type translocator	1317.45	0.13174499541066317
PF02775	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	1315.98	0.1315979954157839
PF16576	Barrel-sandwich domain of CusB or HlyD membrane-fusion	1315.59	0.13155899541714247
PF02782	FGGY family of carbohydrate kinases, C-terminal domain	1298.21	0.1298209954776857
PF00474	Sodium:solute symporter family	1295.44	0.129543995487335
PF01695	IstB-like ATP binding protein	1292.84	0.12928399549639208
PF02776	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	1290.97	0.1290969955029062
PF01266	FAD dependent oxidoreductase	1286.5	0.12864999551847747
PF00793	DAHP synthetase I family	1274.21	0.1274209955612897
PF01370	NAD dependent epimerase/dehydratase family	1249.17	0.12491699564851652
PF01032	FecCD transport family	1242.34	0.12423399567230882
PF13091	PLD-like domain	1237.53	0.12375299568906446
PF00480	ROK family	1231.19	0.12311899571114986
PF02028	BCCT, betaine/carnitine/choline family transporter	1226.01	0.12260099572919438
PF02321	Outer membrane efflux protein	1223.04	0.12230399573954036
PF00854	POT family	1219.94	0.12199399575033923
PF00375	Sodium:dicarboxylate symporter family	1200.66	0.1200659958175011
PF04074	YhcH/YjgK/YiaL	1196.32	0.11963199583261948
PF00582	Universal stress protein family	1181.63	0.11816299588379212
PF13378	Enolase C-terminal domain-like	1167.86	0.1167859959317599
PF02371	Transposase IS116/IS110/IS902 family	1167.36	0.11673599593350163
PF00890	FAD binding domain	1150.64	0.11506399599174577
PF13361	UvrD-like helicase C-terminal domain	1141.46	0.11414599602372429
PF00999	Sodium/hydrogen exchanger family	1139.85	0.11398499602933271
PF08125	Mannitol dehydrogenase C-terminal domain	1137.5	0.11374999603751895
PF01926	50S ribosome-binding GTPase	1133.34	0.1133339960520103
PF00923	Transaldolase/Fructose-6-phosphate aldolase	1123.75	0.11237499608541708
PF00580	UvrD/REP helicase N-terminal domain	1116.37	0.11163699611112529
PF00756	Putative esterase	1110.29	0.11102899613230498
PF13193	AMP-binding enzyme C-terminal domain	1109.82	0.1109819961339422
PF01527	Transposase	1106.59	0.11065899614519392
PF01048	Phosphorylase superfamily	1097.87	0.10978699617557003
PF00575	S1 RNA binding domain	1097.2	0.109719996177904
PF00581	Rhodanese-like domain	1095.25	0.10952499618469681
PF00009	Elongation factor Tu GTP binding domain	1090.06	0.10900599620277616
PF00529	HlyD membrane-fusion protein of T1SS	1084.12	0.10841199622346816
PF00361	Proton-conducting membrane transporter	1082.07	0.10820699623060932
PF00206	Lyase	1076.86	0.10768599624875837
PF00929	Exonuclease	1075.68	0.1075679962528689
PF00849	RNA pseudouridylate synthase	1075.29	0.10752899625422747
PF00483	Nucleotidyl transferase	1074.39	0.10743899625736263
PF00117	Glutamine amidotransferase class-I	1070.5	0.10704999627091344
PF00258	Flavodoxin	1053.29	0.10532899633086447
PF04632	Fusaric acid resistance protein family	1041.39	0.10413899637231813
PF01501	Glycosyl transferase family 8	1036.67	0.10366699638876024
PF03739	Lipopolysaccharide export system permease LptF/LptG	1033.74	0.1033739963989669
PF03446	NAD binding domain of 6-phosphogluconate dehydrogenase	1027.84	0.10278399641951953
PF00205	Thiamine pyrophosphate enzyme, central domain	1015.64	0.10156399646201823
PF00012	Hsp70 protein	1013.69	0.10136899646881108
PF12792	CSS motif domain associated with EAL	1005.88	0.1005879964960172
PF00920	Dehydratase family	1000.14	0.10001399651601249
PF03313	Serine dehydratase alpha chain	996.4	0.09963999652904078
PF01636	Phosphotransferase enzyme family	994.509	0.09945089653562807
PF01408	Oxidoreductase family, NAD-binding Rossmann fold	993.493	0.09934929653916733
PF00768	D-alanyl-D-alanine carboxypeptidase	992.369	0.09923689654308276
PF01494	FAD binding domain	990.399	0.09903989654994524
PF12759	InsA C-terminal domain	986.457	0.09864569656367721
PF00300	Histidine phosphatase superfamily (branch 1)	985.837	0.09858369656583699
PF08352	Oligopeptide/dipeptide transporter, C-terminal region	984.694	0.09846939656981861
PF01116	Fructose-bisphosphate aldolase class-II	980.109	0.09801089658579047
PF02515	CoA-transferase family III	977.304	0.09773039659556168
PF03825	Nucleoside H+ symporter	976.445	0.09764449659855402
PF02311	AraC-like ligand binding domain	976.316	0.09763159659900339
PF00588	SpoU rRNA Methylase family	974.297	0.09742969660603658
PF00437	Type II/IV secretion system protein	974.156	0.09741559660652774
PF04754	Putative transposase, YhgA-like	970.92	0.09709199661780035
PF01614	Bacterial transcriptional regulator	968.33	0.09683299662682263
PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	966.568	0.09665679663296053
PF00939	Sodium:sulfate symporter transmembrane region	963.531	0.09635309664353993
PF01042	Endoribonuclease L-PSP	962.501	0.09625009664712793
PF01594	AI-2E family transporter	960.036	0.09600359665571476
PF00266	Aminotransferase class-V	954.964	0.09549639667338308
PF01226	Formate/nitrite transporter	954.18	0.09541799667611413
PF02264	LamB porin	951.712	0.09517119668471141
PF00149	Calcineurin-like phosphoesterase	950.906	0.09509059668751911
PF01479	S4 domain	950.541	0.0950540966887906
PF00175	Oxidoreductase NAD-binding domain	945.886	0.09458859670500627
PF08245	Mur ligase middle domain	941.501	0.09415009672028143
PF02954	Bacterial regulatory protein, Fis family	940.108	0.09401079672513393
PF01207	Dihydrouridine synthase (Dus)	939.254	0.09392539672810886
PF03738	Glutathionylspermidine synthase preATP-grasp	939.079	0.09390789672871845
PF00330	Aconitase family (aconitate hydratase)	938.196	0.09381959673179441
PF06082	Exopolysaccharide biosynthesis protein YbjH	937.091	0.09370909673564366
PF01274	Malate synthase	930.677	0.09306769675798683
PF09335	SNARE associated Golgi protein	926.933	0.09269329677102905
PF03606	C4-dicarboxylate anaerobic carrier	924.358	0.09243579677999907
PF01232	Mannitol dehydrogenase Rossmann domain	914.232	0.09142319681527299
PF00108	Thiolase, N-terminal domain	912.721	0.09127209682053657
PF00857	Isochorismatase family	910.672	0.09106719682767425
PF00133	tRNA synthetases class I (I, L, M and V)	908.935	0.09089349683372508
PF00912	Transglycosylase	902.033	0.0902032968577682
PF02254	TrkA-N domain	901.114	0.09011139686096954
PF00561	alpha/beta hydrolase fold	900.856	0.09008559686186828
PF03709	Orn/Lys/Arg decarboxylase, N-terminal domain	900.011	0.09000109686481184
PF00367	phosphotransferase system, EIIB	897.552	0.08975519687337777
PF00905	Penicillin binding protein transpeptidase domain	894.459	0.08944589688415222
PF03613	PTS system mannose/fructose/sorbose family IID component	891.897	0.08918969689307696
PF01145	SPFH domain / Band 7 family	891.252	0.0891251968953238
PF00144	Beta-lactamase	886.268	0.08862679691268557
PF02738	Molybdopterin-binding domain of aldehyde dehydrogenase	884.814	0.08848139691775059
PF01476	LysM domain	882.13	0.0882129969271003
PF00210	Ferritin-like domain	876.806	0.08768059694564646
PF01263	Aldose 1-epimerase	874.046	0.08740459695526091
PF13808	DDE_Tnp_1-associated	871.976	0.08719759696247176
PF00571	CBS domain	866.677	0.08666769698093083
PF02867	Ribonucleotide reductase, barrel domain	865.761	0.0865760969841217
PF07687	Peptidase dimerisation domain	861.073	0.08610729700045235
PF05681	Fumarate hydratase (Fumerase)	859.348	0.0859347970064614
PF01842	ACT domain	851.444	0.08514439703399497
PF00989	PAS fold	849.347	0.08493469704129987
