Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Bifidobacterium longum	216816		67.39	1	1	2617248	2657678
s__Streptococcus anginosus GCA_001838575.1	1715113	GCA_001838575.1	11.25	0.82449	0.051668	348157	443669
s__Actinotignum timonense GCA_002860685.1	1870995	GCA_002860685.1	7.2700000000000005	0.852725	0.832378	273713	286709
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	4.44	0.642612	0.641382	197823	175101
s__Winkia sp002849225 GCA_002872055.1	2069311	GCA_002872055.1	3.44	0.971981	0.9706	124045	135664
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	1.03	0.613581	0.611616	43126	40620
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	1.03	0.925398	0.925398	52700	40620
s__Bradyrhizobium sp003020075 GCA_000465325.1	1230476	GCA_000465325.1	0.6	0.364829	0.301719	75078	23662
s__Actinotignum schaalii	59505		0.4	0.079245	0.037403	14025	15775
s__Finegoldia magna_H GCA_000010185.1	334413	GCA_000010185.1	0.4	0.408759	0.143704	11747	15775
s__Scardovia wiggsiae GCA_000269605.1	857290	GCA_000269605.1	0.24	0.264261	0.263433	6317	9465
s__Bradyrhizobium viridifuturi GCA_002289535.1	418599	GCA_002289535.1	0.22	0.05931	0.012624	32113	8676
s__Staphylococcus haemolyticus GCA_001922505.1	1663564	GCA_001922505.1	0.18	0.313342	0.177093	6705	7099
s__Corynebacterium glucuronolyticum GCA_001815555.1	1739536	GCA_001815555.1	0.17	0.041499	0.031123	7789	6704
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	0.16	0.101002	0.028636	5375	6310
s__Bradyrhizobium sp002532045 GCA_002532045.1	142585	GCA_002532045.1	0.14	0.033436	0.009418	19286	5521
s__Bradyrhizobium elkanii	29448		0.1	0.035784	0.008788	13818	3944
s__Bradyrhizobium pachyrhizi	280333		0.1	0.025085	0.005769	15860	3944
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	0.1	0.23881	0.216802	3044	3944
s__Aerococcus urinae_B GCA_001811135.1	1739288	GCA_001811135.1	0.09	0.215677	0.18174	2760	3549
s__Bradyrhizobium septentrionale GCA_000426785.1	172088	GCA_000426785.1	0.09	0.02432	0.006171	14608	3549
s__Dialister micraerophilus GCA_000194985.1	888062	GCA_000194985.1	0.09	0.152157	0.12248	1823	3549
s__Aerococcus urinae_D GCA_001809895.1	1715159	GCA_001809895.1	0.08	0.206005	0.172464	2747	3155
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	0.07	0.084671	0.057129	3655	2761
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	0.06	0.0781	0.065739	1853	2366
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	0.06	0.062365	0.03712	2529	2366
s__Prevotella sp900547085 GCA_900547085.1	159272	GCA_900547085.1	0.06	0.077259	0.044206	2196	2366
s__Comamonas tsuruhatensis GCA_000710145.1	1537702	GCA_000710145.1	0.06	0.073952	0.013295	6674	2366
s__Finegoldia magna GCA_009678265.1	2584653	GCA_009678265.1	0.06	0.056314	0.020527	1698	2366
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	0.04	0.055848	0.021275	1353	1577
s__Ralstonia pickettii_B GCA_000372665.1	1264675	GCA_000372665.1	0.04	0.052627	0.051399	3157	1577
s__Facklamia hominis GCA_000301035.1	883111	GCA_000301035.1	0.03	0.063098	0.032202	819	1183
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	0.03	0.048129	0.013192	1234	1183
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	0.03	0.036752	0.02371	1494	1183
s__Prevotella sp000479005 GCA_000479005.1	1111130	GCA_000479005.1	0.03	0.053213	0.027616	1211	1183
s__Pseudomonas_E antarctica_A GCA_001647715.1	219572	GCA_001647715.1	0.03	0.014087	0.01292	3132	1183
s__Bradyrhizobium ivorense	2511166		0.03	0.005001	0.004824	4675	1183
s__Peptoniphilus_A grossensis GCA_000311825.1	1118057	GCA_000311825.1	0.03	0.064645	0.046285	1042	1183
s__Veillonella parvula_A GCA_901876955.1	29466	GCA_901876955.1	0.03	0.041582	0.033871	1027	1183
s__Meiothermus_B silvanus GCA_000092125.1	526227	GCA_000092125.1	0.03	0.018155	0.018327	1412	1183
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	0.02	0.028821	0.015447	917	789
s__Varibaculum cambriense_A GCA_000508625.1	1403948	GCA_000508625.1	0.02	0.023001	0.014559	612	789
s__Lawsonella clevelandensis	1528099		0.02	0.016625	0.016625	580	789
s__Cutibacterium avidum	33010		0.02	0.028331	0.015825	924	789
s__Olegusella massiliensis GCA_900078545.1	1776381	GCA_900078545.1	0.02	0.026861	0.02682	540	789
s__Porphyromonas_A sp001808555 GCA_001808555.1	1739394	GCA_001808555.1	0.02	0.037137	0.035355	821	789
