Name	Tax ID	GTDB ID	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Lactobacillus iners GCA_011058715.1	147802	GCA_011058715.1	82.74	0.88385	0.255738	4868589	5243385
s__Ureaplasma parvum GCA_000171375.1	515608	GCA_000171375.1	6.63	0.97355	0.800459	218941	420155
s__Enterococcus faecalis GCA_902160185.1	1351	GCA_902160185.1	2.27	0.803865	0.09009	282387	143854
s__Staphylococcus epidermidis	1282		1.6	0.943453	0.090909	159259	101395
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	0.77	0.515907	0.146609	59919	48796
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	0.35	0.609666	0.607426	38535	22180
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	0.33	0.917824	0.917824	44487	20913
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	0.25	0.34041	0.158055	19555	15843
s__Anaerostipes hadrus GCA_000332875.2	649757	GCA_000332875.2	0.22	0.555395	0.526939	26295	13942
s__Bifidobacterium pseudocatenulatum GCA_015556885.1	28026	GCA_015556885.1	0.22	0.366762	0.10929	21785	13942
s__Bifidobacterium longum GCA_001686145.1	1679	GCA_001686145.1	0.21	0.231616	0.02289	21933	13308
s__Anaerococcus vaginimassiliensis GCA_000191725.2	879305	GCA_000191725.2	0.16	0.393961	0.281071	12127	10139
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	0.15	0.187312	0.113077	16513	9506
s__Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	GCA_000175635.1	0.15	0.186324	0.106172	15757	9506
s__Mediterraneibacter torques GCA_000153925.1	411460	GCA_000153925.1	0.14	0.498145	0.499928	16988	8872
s__Peptoniphilus_A grossensis GCA_001811425.1	1739305	GCA_001811425.1	0.13	0.314813	0.205404	10074	8238
s__Blautia_A wexlerae GCA_013302125.1	418240	GCA_013302125.1	0.12	0.339208	0.194291	23690	7605
s__Anaerococcus sp900258475 GCA_900258475.1	2057799	GCA_900258475.1	0.12	0.466496	0.466109	12146	7605
s__Ruminiclostridium_E siraeum GCA_000209915.1	657319	GCA_000209915.1	0.1	0.279696	0.201284	12327	6337
s__Pseudoruminococcus massiliensis GCA_900291955.1	2086583	GCA_900291955.1	0.1	0.36074	0.367965	10494	6337
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	0.1	0.182225	0.05594	7864	6337
s__Bacteroides uniformis GCA_015555865.1	820	GCA_015555865.1	0.1	0.263987	0.078357	20960	6337
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	0.1	0.293912	0.292828	11814	6337
s__Blautia_A obeum GCA_003463085.1	40520	GCA_003463085.1	0.09	0.480527	0.043595	13544	5703
s__Blautia_A massiliensis GCA_009876905.1	1737424	GCA_009876905.1	0.09	0.318538	0.076638	14518	5703
s__Anaerostipes sp900066705 GCA_902362875.1	2049045	GCA_902362875.1	0.09	0.376774	0.340266	12132	5703
s__Facklamia hominis GCA_000301035.1	883111	GCA_000301035.1	0.08	0.332023	0.20766	6189	5070
s__Staphylococcus borealis GCA_009735325.1	2742203	GCA_009735325.1	0.08	0.37487	0.35054	8657	5070
s__Phocaeicola dorei GCA_003458145.1	357276	GCA_003458145.1	0.08	0.426609	0.01567	19694	5070
s__Porphyromonas_A somerae GCA_000372405.1	1122975	GCA_000372405.1	0.08	0.25721	0.168786	8142	5070
s__Blautia_A obeum	40520		0.07	0.590425	0.561905	11179	4436
s__Gemmiger qucibialis GCA_003324125.1	2086273	GCA_003324125.1	0.07	0.249933	0.251039	10718	4436
s__Phocaeicola vulgatus GCA_015559725.1	821	GCA_015559725.1	0.06	0.328213	0.031879	12048	3802
s__Alistipes shahii GCA_025145845.1	717959	GCA_025145845.1	0.06	0.194444	0.164981	10505	3802
s__Porphyromonas_A sp001808555 GCA_001808555.1	1739394	GCA_001808555.1	0.06	0.185683	0.174767	5214	3802
s__Varibaculum timonense_A GCA_900120415.1	1870994	GCA_900120415.1	0.06	0.262085	0.261208	5805	3802
s__Blautia_A faecis GCA_013304475.1	871665	GCA_013304475.1	0.05	0.23033	0.197609	11491	3169
s__Lachnospira eligens GCA_000146185.1	515620	GCA_000146185.1	0.05	0.173185	0.091424	6232	3169
s__Prevotella colorans GCA_003096815.1	1703337	GCA_003096815.1	0.05	0.16679	0.153959	6608	3169
s__Alistipes putredinis GCA_000154465.1	445970	GCA_000154465.1	0.05	0.226736	0.231051	5836	3169
s__Akkermansia muciniphila_B GCA_018847035.1	2927224	GCA_018847035.1	0.05	0.222603	0.190834	6765	3169
s__Bradyrhizobium sp003020075 GCA_000465325.1	1230476	GCA_000465325.1	0.05	0.116488	0.150246	15465	3169
s__Lachnospira eligens_A GCA_009680455.1	39485	GCA_009680455.1	0.04	0.26348	0.098486	4187	2535
s__Eisenbergiella sp900066775 GCA_003481005.1	2292898	GCA_003481005.1	0.04	0.170895	0.172699	6759	2535
