Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Proteus mirabilis GENE tnpA		-	1894461.61	16.466	1	1	21917
Salmonella Typhimurium GI 46019645		-	731960.01	6.361999999999999	1	1	120878
Escherichia coli GENE aphA7		-	685977.02	5.962	0.865625	0.865625	106497
Escherichia coli GENE iss		-	626247.12	5.443	0.641822	0.641822	142903
Escherichia coli GENE traA		-	558894.96	4.858	0.967391	0.967391	28575
Vibrio cholerae GENE intI1		-	443505.99	3.855	1	1	4099
Salmonella Typhimurium GENE tetA		-	427232.87	3.7130000000000005	1	1	69661
Yersinia pestis GENE ybtP		-	424065.3	3.6859999999999995	0.921944	0.921944	135302
Yersinia pestis GENE irp1		-	410710.56	3.5700000000000003	0.919526	0.933572	390469
Yersinia pestis GENE irp2		-	408634.4	3.5520000000000005	0.937103	0.948519	262660
Yersinia pestis GENE fyuA		-	406682.04	3.535	0.983376	0.983376	147818
Yersinia pestis GENE ybtQ		-	401308.3	3.488	0.908555	0.908555	128402
Yersinia pestis GENE ybtS		-	398130.83	3.46	0.943137	0.943137	98307
Escherichia coli GeneID ECK0577		-	368833.42	3.206	1	1	1263
Escherichia coli GENE lpfA		-	362302.55	3.1489999999999996	0.750877	0.750877	100075
Yersinia pestis GENE ybtA		-	361973.02	3.1460000000000004	0.9	0.9	67344
Yersinia pestis GENE ybtE		-	346255.15	3.01	0.880143	0.880143	93991
Yersinia pestis GENE ybtT		-	326850.26	2.841	0.814035	0.814035	48505
Pseudomonas aeruginosa GENE intI1		-	316882.12	2.754	1	1	9911
Escherichia coli GENE lacY		-	315465.12	2.742	0.579365	0.579365	22670
Yersinia pestis GENE ybtX		-	301524.37	2.621	0.844978	0.844978	69064
Yersinia pestis GENE ybtU		-	291853.4	2.537	0.924324	0.924324	55135
Enterobacter aerogenes GENE tniA		-	277178.62	2.409	0.750557	0.750557	62907
Escherichia coli GENE ompA		-	138162.02	1.201	0.535593	0.535593	22852
Escherichia coli GI 38606113		-	131382.76	1.142	0.491979	0.491979	14567
Escherichia coli GENE iutA		-	48224.41	0.41900000000000004	0.648649	0.648649	19763
Escherichia coli GENE yehA		-	35584.67	0.309	0.458333	0.458333	761
Enterococcus faecium GENE ermB		-	13416.86	0.117	0.948718	0.948718	2147
Bacteroides vulgatus GI 33413459		-	10926.71	0.095	1	1	569
Escherichia coli GENE 949 Branch		-	7686.02	0.067	0.77551	0.77551	100
Enterococcus hirae GENE ermB		-	7261.09	0.063	1	1	33
Parabacteroides distasonis GI 32395281		-	6979.01	0.061	1	1	109
Parabacteroides distasonis GI 32395282		-	6705.78	0.058	0.73913	0.73913	341
Enterococcus faecium GI 21886747		-	5505.71	0.048	0.814815	0.814815	104
Escherichia coli GENE senB		-	4058.33	0.034999999999999996	0.490323	0.490323	805
Bacteroides fragilis GI 46242811		-	2355.7	0.02	0.513514	0.513514	66
