Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Streptococcus agalactiae GENE cfb		-	1242789.7	8.578	0.861496	0.861496	205454
Streptococcus agalactiae GENE cylE		-	1030287.26	7.111000000000001	1	1	409470
Streptococcus agalactiae GENE cpsB		-	769855.42	5.314	0.976676	0.976676	126000
Streptococcus agalactiae GENE cpsE		-	769203.79	5.309	0.910314	0.910314	231933
Streptococcus agalactiae GENE cpsL		-	731792.13	5.051	0.928	0.928	208055
Streptococcus agalactiae GENE neuA		-	687154.78	4.743	0.881818	0.881818	174735
Streptococcus agalactiae GENE neuB		-	659420.72	4.552	0.894231	0.894231	130357
Streptococcus agalactiae GENE cpsC		-	645164.95	4.453	0.864754	0.864754	78681
Streptococcus agalactiae GENE cpsA		-	640965.08	4.424	0.849614	0.849614	225069
Streptococcus agalactiae GENE pavA		-	621103.77	4.287	0.809182	0.809182	197794
Streptococcus agalactiae GENE neuD		-	602778.71	4.1610000000000005	0.862179	0.862179	92404
Streptococcus agalactiae GENE neuC		-	582516.35	4.021	0.79596	0.79596	136407
Streptococcus agalactiae GENE scpB		-	565427.19	3.903	1	1	13702
Streptococcus agalactiae GENE cpsD		-	543112.06	3.749	0.816456	0.816456	84986
Streptococcus pyogenes GENE scpA		-	533336.51	3.681	0.731421	0.73385	186593
Streptococcus agalactiae GENE hylB		-	512852.15	3.54	0.683932	0.683932	219465
Streptococcus agalactiae GENE cpsF		-	511858.81	3.533	0.695122	0.695122	44540
Streptococcus agalactiae GENE lmb		-	503233.56	3.474	0.715	0.715	98299
Streptococcus agalactiae GENE fbsA		-	431310.66	2.9770000000000003	0.659236	0.659236	68546
Streptococcus agalactiae GENE cpsG		-	428031.39	2.954	0.603448	0.603448	39969
Streptococcus agalactiae GENE cpsK		-	352451.52	2.4330000000000003	0.495192	0.495192	73731
Enterococcus faecium GI 21886745		-	129107.35	0.8909999999999999	1	0.96463	1412
Enterobacter GENE espfs		-	89083.33	0.615	0.944857	0.9578	66304
Enterobacter GENE agg		-	86043.26	0.594	0.745856	0.754392	108981
Enterobacter GENE cylB		-	65144.75	0.44999999999999996	0.911635	0.911635	42228
Enterobacter GENE cylM		-	63360.2	0.437	0.796488	0.875731	34307
Enterobacter GENE cylA		-	56842.19	0.392	0.868118	0.868118	22643
Enterobacter GENE cCF10		-	51671.88	0.357	0.73428	0.73428	13977
Enterobacter GENE hylA		-	48676.46	0.336	0.730065	0.767267	33284
Enterobacter GENE cad		-	48195.82	0.333	0.723473	0.723473	16038
Enterococcus faecalis GENE cylR2		-	46545.81	0.321	1	1	2355
Enterococcus faecalis GENE cylL-s		-	41852.86	0.28900000000000003	1	1	2297
Enterococcus faecalis GeneID EF0954		-	40585.08	0.27999999999999997	0.777228	0.777228	9167
Enterobacter GENE ebpC		-	38121.47	0.263	0.807826	0.774606	21566
Enterobacter GENE ElrA		-	36935.66	0.255	0.716116	0.716116	26376
Enterobacter GENE ebpA		-	36916.77	0.255	0.772164	0.772164	36537
Enterobacter GENE SrtA		-	36024.22	0.249	0.73774	0.73774	9320
Enterobacter GENE cylL		-	35417.86	0.244	1	1	350
Enterobacter GENE tpx		-	33975.27	0.23500000000000001	0.786408	0.786408	6054
Enterobacter GENE camE		-	31775.81	0.219	0.723529	0.723529	6222
Enterobacter GENE cOB1		-	24707.16	0.17099999999999999	0.658423	0.658423	8487
Enterococcus faecium GI 21886746		-	13885.55	0.096	0.964286	0.964286	528
Enterococcus faecium GENE ermB		-	13798.12	0.095	0.934473	0.934473	2253
Enterococcus faecalis G 771 Branch		-	12794.07	0.08800000000000001	0.619048	0.619048	782
Enterococcus faecium GENE aadE		-	10034	0.06899999999999999	0.937677	0.937677	1392
Staphylococcus aureus GENE AACA-APHD		-	8315.67	0.056999999999999995	0.90669	0.90669	1428
Enterococcus faecium GENE sat4		-	7472.99	0.052	1	1	438
Staphylococcus aureus GI 33390919		-	6589.37	0.045	0.668342	0.769481	412
Staphylococcus aureus GI 33390945		-	3195.04	0.022000000000000002	0.606061	0.606061	94
Enterococcus faecium GI 21886747		-	2259.95	0.016	0.444444	0.444444	48
Staphylococcus aureus GENE qacC		-	1957.81	0.013999999999999999	0.445205	0.445205	65
Escherichia coli GENE yddA		-	1753.33	0.012	0.426087	0.426087	49
